Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,422.28,425.89,428.09,420.35,53350000.0,-0.52,422.28,422.28,422.28
2015-01-05,410.94,420.06,424.58,410.49,99100000.0,-2.69,421.713,418.87799999999993,414.3419999999999
2015-01-06,408.43,411.67,414.62,406.3,99160000.0,-0.61,421.04885,415.74359999999984,410.2036
2015-01-07,411.21,411.01,413.96,408.6,88340000.0,0.68,420.5569075,414.3835199999999,410.90808
2015-01-08,423.07,416.6,424.14,415.44,104710000.0,2.88,420.682562125,416.989464,419.421424
2015-01-09,415.59,422.41,424.23,412.76,96720000.0,-1.77,420.42793401875,416.5696248,416.73942719999997
2015-01-12,418.41,417.05,421.5,413.63,88790000.0,0.68,420.32703731781237,417.12173736,417.90882816
2015-01-13,423.79,415.76,424.92,414.82,101180000.0,1.29,420.5001854519218,419.12221615199996,422.025648448
2015-01-14,418.33,418.44,425.3,416.87,116680000.0,-1.29,420.3916761793257,418.8845513064,419.43869453439993
2015-01-15,425.32,422.6,426.62,411.46,146100000.0,1.67,420.63809237035935,420.81518591447997,423.55560836032
2015-01-16,432.98,423.37,433.62,422.94,149960000.0,1.8,421.2551877518415,424.464630140136,430.152682508096
2015-01-19,435.31,433.84,436.2,432.03,84170000.0,0.54,421.95792836424937,427.7182410980952,433.7628047524288
2015-01-20,437.92,435.97,439.39,435.6,110110000.0,0.6,422.7560319460369,430.7787687686667,436.6728414257286
2015-01-21,441.09,439.99,441.09,435.84,118570000.0,0.72,423.6727303487351,433.87213813806665,439.76485242771867
2015-01-22,447.77,442.04,449.03,440.41,146100000.0,1.51,424.87759383129827,438.0414966966467,445.36845572831567
2015-01-23,454.56,451.02,457.1,450.28,154310000.0,1.52,426.36171413973335,442.9970476876526,451.8025367184947
2015-01-26,459.14,452.62,459.44,452.62,105830000.0,1.01,428.00062843274674,447.8399333813568,456.9387610155484
2015-01-27,454.46,458.34,459.06,451.49,96890000.0,-1.02,429.32359701110937,449.8259533669498,455.20362830466456
2015-01-28,452.3,457.03,457.57,450.25,105380000.0,-0.48,430.4724171605539,450.5681673568649,453.17108849139936
2015-01-29,452.47,447.83,453.16,447.83,104980000.0,0.04,431.57229630252624,451.13871714980553,452.68032654741984
