Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-01,5400.0,5411.0,5412.0,5387.0,56700000.0,-0.2,5400.0,5400.0,5400.0
2015-01-02,5435.93,5411.0,5436.3,5387.0,277710000.0,0.67,5401.7965,5410.779,5425.151
2015-01-04,5455.7,5435.9,5470.4,5429.6,100140000.0,0.36,5404.491675,5424.2553,5446.5353
2015-01-05,5450.33,5435.9,5470.4,5429.6,428320000.0,-0.1,5406.78359125,5432.077710000001,5449.1915899999985
2015-01-06,5364.8,5450.3,5450.3,5338.6,569610000.0,-1.57,5404.6844116875,5411.894397,5390.117477000002
2015-01-07,5353.61,5364.8,5369.8,5318.7,568110000.0,-0.21,5402.130691103125,5394.4090779,5364.562243099998
2015-01-08,5381.45,5353.6,5395.8,5353.6,615250000.0,0.52,5401.096656547968,5390.5213545299985,5376.383672929999
2015-01-09,5465.57,5381.5,5465.6,5381.5,552130000.0,1.56,5404.32032372057,5413.035948170999,5438.814101878999
2015-01-11,5442.7,5465.6,5465.6,5424.0,78170000.0,-0.42,5406.239307534543,5421.9351637197,5441.534230563699
2015-01-12,5422.7,5465.6,5465.6,5419.4,424620000.0,-0.37,5407.062342157815,5422.164614603789,5428.350269169109
2015-01-13,5404.69,5422.7,5422.7,5373.7,518470000.0,-0.33,5406.943725049924,5416.922230222652,5411.788080750732
2015-01-14,5353.6,5404.7,5405.7,5346.6,622840000.0,-0.95,5404.276538797428,5397.9255611558565,5371.056424225219
2015-01-15,5331.37,5353.6,5353.6,5303.7,682070000.0,-0.42,5400.631211857556,5377.9588928091,5343.275927267566
2015-01-16,5299.24,5331.4,5333.9,5267.4,587590000.0,-0.6,5395.5616512646775,5354.34322496637,5312.4507781802695
2015-01-18,5352.8,5299.2,5362.2,5299.2,100570000.0,1.01,5393.423568701444,5353.8802574764595,5340.695233454081
2015-01-19,5309.14,5299.2,5372.4,5299.2,543930000.0,-0.82,5389.209390266372,5340.4581802335215,5318.606570036224
2015-01-20,5307.67,5309.1,5313.9,5282.4,557590000.0,-0.03,5385.132420753053,5330.621726163465,5310.950971010867
2015-01-21,5393.38,5307.7,5393.4,5307.7,598160000.0,1.61,5385.544799715401,5349.449208314425,5368.65129130326
2015-01-22,5419.94,5393.4,5432.4,5393.4,683970000.0,0.49,5387.2645597296305,5370.596445820098,5404.553387390977
2015-01-23,5501.82,5419.9,5501.82,5419.9,591090000.0,1.51,5392.9923317431485,5409.9635120740695,5472.640016217292
2015-01-26,5516.3,5501.8,5521.5,5497.3,155130000.0,0.26,5399.157715155992,5441.864458451848,5503.202004865188
2015-01-27,5547.23,5501.8,5547.23,5497.3,685340000.0,0.56,5406.561329398192,5473.474120916293,5534.021601459554
2015-01-28,5552.78,5547.2,5559.1,5521.2,609350000.0,0.1,5413.872262928283,5497.265884641405,5547.152480437866
2015-01-29,5569.48,5552.8,5576.2,5518.6,701800000.0,0.3,5421.652649781869,5518.930119248986,5562.781744131357
2015-01-30,5588.32,5569.5,5619.5,5569.5,887250000.0,0.34,5429.986017292776,5539.74708347429,5580.658523239405
2015-02-01,5601.6,5594.4,5617.5,5591.1,106840000.0,0.24,5438.566716428136,5558.302958432002,5595.317556971822
2015-02-02,5625.34,5588.3,5639.4,5588.3,563660000.0,0.42,5447.9053806067295,5578.414070902401,5616.333267091545
2015-02-03,5707.37,5625.3,5717.5,5625.3,760390000.0,1.46,5460.878611576393,5617.100849631681,5680.058980127465
2015-02-04,5777.34,5707.4,5805.1,5707.4,950700000.0,1.23,5476.701680997574,5665.172594742176,5748.155694038239
2015-02-05,5810.98,5777.3,5819.1,5757.9,694490000.0,0.58,5493.415596947695,5708.914816319521,5792.132708211471
2015-02-06,5820.17,5811.0,5850.9,5809.5,571620000.0,0.16,5509.75331710031,5742.291371423666,5811.758812463441
2015-02-08,5790.2,5803.5,5813.6,5790.2,449540000.0,-0.51,5523.775651245294,5756.663959996567,5796.667643739032
2015-02-09,5814.93,5820.2,5820.2,5779.6,891510000.0,0.43,5538.333368683028,5774.143771997597,5809.451293121711
2015-02-10,5800.57,5814.9,5819.4,5781.2,554750000.0,-0.25,5551.445200248878,5782.071640398317,5803.234387936513
2015-02-11,5769.08,5800.6,5818.9,5757.4,602280000.0,-0.54,5562.326940236434,5778.174148278822,5779.326316380953
2015-02-12,5743.57,5769.1,5790.5,5739.8,818210000.0,-0.44,5571.389093224612,5767.792903795174,5754.296894914285
2015-02-13,5877.47,5743.6,5893.5,5743.6,753740000.0,2.33,5586.6931385633825,5800.696032656622,5840.5180684742845
2015-02-15,5860.4,5891.7,5893.4,5858.0,182390000.0,-0.29,5600.378481635213,5818.607222859636,5854.435420542285
2015-02-16,5888.66,5877.5,5893.4,5841.9,629090000.0,0.48,5614.792557553452,5839.623056001746,5878.392626162686
2015-02-17,5858.21,5888.7,5888.7,5844.8,585340000.0,-0.52,5626.963429675779,5845.1991392012205,5864.264787848805
2015-02-18,5915.68,5858.2,5915.7,5845.6,800970000.0,0.98,5641.39925819199,5866.3433974408545,5900.255436354642
