Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,85458.92,85447.89,85772.1,84940.87,328040000.0,-0.31,85458.92,85458.92,85458.92
2015-01-05,86462.57,85495.31,86795.82,85411.37,644590000.0,1.17,85509.1025,85760.015,86161.475
2015-01-06,86909.58,86650.91,86911.82,85574.65,698320000.0,0.52,85579.12637499999,86104.8845,86685.1485
2015-01-07,86776.58,86925.09,87626.04,86497.83,791950000.0,-0.15,85638.99905624999,86306.39315,86749.15054999999
2015-01-08,87689.64,87404.88,87919.06,87260.4,731760000.0,1.05,85741.53110343749,86721.367205,87407.49316499999
2015-01-09,87648.35,87746.04,88326.79,87428.07,711730000.0,-0.05,85836.87204826562,86999.46204350001,87576.0929495
2015-01-12,87864.74,87917.41,88738.83,87637.0,637100000.0,0.25,85938.26544585235,87259.04543045,87778.14588485
2015-01-13,88313.5,88105.21,88548.2,87823.98,736660000.0,0.51,86057.02717355972,87575.381801315,88152.893765455
2015-01-14,87563.47,87713.67,88378.67,87127.99,746340000.0,-0.85,86132.34931488175,87571.8082609205,87740.2971296365
2015-01-15,87742.82,88080.1,88491.37,87560.27,804150000.0,0.2,86212.87284913768,87623.11178264435,87742.06313889095
2015-01-16,87416.4,87648.67,87866.0,86862.51,619400000.0,-0.37,86273.04920668081,87561.09824785104,87514.09894166728
2015-01-19,88006.48,87696.58,88322.35,87584.91,511990000.0,0.68,86359.72074634676,87694.71277349572,87858.76568250018
2015-01-20,89200.45,88243.22,89464.45,88243.22,759240000.0,1.36,86501.75720902943,88146.43394144699,88797.94470475004
2015-01-21,90312.8,89691.28,90350.37,89635.47,725460000.0,1.25,86692.30934857795,88796.34375901289,89858.34341142503
2015-01-22,90902.78,90671.23,91004.63,89852.17,730080000.0,0.65,86902.83288114906,89428.27463130902,90589.4490234275
2015-01-23,90736.05,91195.78,91585.11,90539.21,666420000.0,-0.18,87094.49373709162,89820.60724191632,90692.06970702825
2015-01-26,91412.94,90549.11,91412.94,90294.12,545740000.0,0.75,87310.41605023702,90298.30706934142,91196.67891210847
2015-01-27,91150.05,91546.48,91753.32,90560.2,601460000.0,-0.29,87502.39774772518,90553.829948539,91164.03867363256
2015-01-28,90341.63,91705.76,91805.74,90276.4,659830000.0,-0.89,87644.35936033893,90490.1699639773,90588.35260208977
