Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-01,27507.54,27485.77,27545.61,27395.34,4700.0,0.03,27507.54,27507.54,27507.54
2015-01-02,27887.9,27521.28,27937.47,27519.26,7400.0,1.38,27526.558,27621.648,27773.792
2015-01-05,27842.32,27978.43,28064.49,27786.85,9250.0,-0.16,27542.3461,27687.8496,27821.7616
2015-01-06,26987.46,27694.23,27698.93,26937.06,14130.0,-3.07,27514.601795,27477.73272,27237.750479999995
2015-01-07,26908.82,26983.43,27051.6,26776.12,12210.0,-0.29,27484.31270525,27307.058904,27007.499144
2015-01-08,27274.71,27178.77,27316.41,27101.94,8480.0,1.36,27473.832569987506,27297.3542328,27194.546743199997
2015-01-09,27458.38,27404.19,27507.67,27119.63,11390.0,0.67,27473.05994148813,27345.661962959995,27379.23002296
2015-01-12,27585.27,27523.86,27620.66,27323.74,7730.0,0.46,27478.67044441372,27417.544374072,27523.458006888
2015-01-13,27425.73,27611.56,27670.19,27324.58,7970.0,-0.58,27476.02342219304,27420.000061850402,27455.0484020664
2015-01-14,27346.82,27432.14,27512.8,27203.25,10540.0,-0.29,27469.563251083382,27398.046043295282,27379.288520619917
2015-01-15,28075.55,27831.16,28194.61,27703.7,17230.0,2.66,27499.862588529213,27601.297230306693,27866.671556185967
2015-01-16,28121.89,28056.61,28176.1,27945.31,12500.0,0.17,27530.96395910276,27757.47506121468,28045.324466855796
2015-01-19,28262.01,28249.84,28334.06,28197.36,11180.0,0.5,27567.51626114762,27908.835542850284,28197.004340056737
2015-01-20,28784.67,28324.85,28829.29,28324.85,11420.0,1.85,27628.37394809024,28171.5858799952,28608.370302017018
2015-01-21,28888.86,28843.09,28958.1,28792.57,15870.0,0.36,27691.398250685732,28386.768115996634,28804.713090605102
2015-01-22,29006.02,28957.79,29060.41,28892.23,11360.0,0.41,27757.12933815145,28572.543681197647,28945.627927181533
2015-01-23,29278.84,29189.45,29408.73,29165.56,12260.0,0.94,27833.214871243883,28784.432576838353,29178.876378154455
2015-01-27,29571.04,29451.65,29618.59,29286.09,11630.0,1.0,27920.10612768168,29020.414803786847,29453.39091344634
2015-01-28,29559.18,29565.72,29786.32,29417.67,11520.0,-0.04,28002.059821297596,29182.044362650788,29527.4432740339
2015-01-29,29681.77,29516.49,29740.63,29378.3,13090.0,0.41,28086.04533023272,29331.96205385556,29635.471982210165
2015-01-30,29182.95,29801.6,29844.16,29070.48,16309.999999999998,-1.68,28140.890563721085,29287.25843769888,29318.706594663046
2015-02-02,29122.27,29143.63,29268.13,28958.52,18590.0,-0.21,28189.95953553504,29237.76190638922,29181.200978398912
2015-02-03,29000.14,29217.4,29253.06,28900.41,17070.0,-0.42,28230.468558758286,29166.475334472445,29054.458293519678
2015-02-04,28883.11,29129.85,29133.62,28824.68,16290.0,-0.4,28263.100630820365,29081.465734130717,28934.514488055902
2015-02-05,28850.97,28912.38,29277.83,28753.29,13190.0,-0.11,28292.494099279345,29012.317013891494,28876.033346416767
2015-02-06,28717.91,28892.21,28922.85,28647.14,11820.0,-0.46,28313.76489431538,28923.994909724053,28765.347003925028
2015-02-09,28227.39,28566.5,28566.5,28183.32,12070.0,-1.71,28309.446149599615,28715.013436806836,28388.777101177515
2015-02-10,28355.62,28122.48,28633.72,28044.49,14960.0,0.45,28311.754842119633,28607.195405764785,28365.56713035325
2015-02-11,28533.97,28450.26,28618.91,28424.39,14170.0,0.63,28322.86560001365,28585.227784035356,28483.449139105967
2015-02-12,28805.1,28650.25,28838.52,28406.25,14150.0,0.95,28346.977320012968,28651.189448824738,28708.604741731782
2015-02-13,29094.93,28888.99,29154.67,28835.7,18100.0,1.01,28384.37495401232,28784.31161417732,28979.032422519536
2015-02-16,29135.88,29170.77,29325.35,29083.4,10840.0,0.14,28421.950206311714,28889.782129924126,29088.825726755866
2015-02-18,29320.26,29136.07,29411.32,29126.91,11290.0,0.63,28466.865695996123,29018.92549094689,29250.829718026762
2015-02-19,29462.27,29434.91,29522.86,29108.15,12310.0,0.48,28516.635911196317,29151.928843662816,29398.837915408018
2015-02-20,29231.41,29446.21,29462.09,29178.26,11900.0,-0.78,28552.374615636494,29175.77319056397,29281.638374622402
2015-02-23,28975.11,29316.58,29362.96,28913.16,9070.0,-0.88,28573.511384854683,29115.574233394786,29067.068512386715
2015-02-24,29004.66,29016.55,29130.67,28875.94,10530.0,0.1,28595.068815611943,29082.299963376343,29023.382553716016
2015-02-25,29007.99,29115.32,29269.83,28967.61,8150.0,0.01,28615.71487483135,29060.006974363438,29012.607766114805
2015-02-26,28746.65,29051.9,29069.13,28693.82,11030.0,-0.9,28622.26163108978,28965.999882054413,28826.43732983444
