Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,16414.8,16634.49,16634.49,16327.13,0.0,-1.32,16414.8,16414.8,16414.8
2015-01-06,16173.61,16414.8,16414.8,16172.32,0.0,-1.47,16402.7405,16342.443,16245.967
2015-01-07,16191.37,16174.06,16310.2,16075.66,0.0,0.11,16392.171975,16297.1211,16207.7491
2015-01-08,16441.68,16225.62,16509.86,16221.25,0.0,1.55,16394.647376250006,16340.488769999998,16371.500730000002
2015-01-09,16222.75,16441.68,16470.54,16222.75,0.0,-1.33,16386.052507437504,16305.167139,16267.375218999998
2015-01-12,16158.77,16223.04,16293.86,16039.79,0.0,-0.39,16374.688382065628,16261.2479973,16191.3515657
2015-01-13,16140.26,16158.77,16198.02,16041.53,0.0,-0.11,16362.966962962346,16224.95159811,16155.587469709995
2015-01-14,16066.13,16137.91,16159.68,16012.48,0.0,-0.46,16348.125114814231,16177.305118677004,16092.967240912998
2015-01-15,15686.69,16065.64,16179.65,15650.6,0.0,-2.36,16315.053359073518,16030.120583073902,15808.573172273898
2015-01-16,15755.9,15710.07,15806.81,15596.56,0.0,0.44,16287.095691119841,15947.85440815173,15771.701951682167
2015-01-19,15802.54,15752.88,15849.71,15744.51,0.0,0.3,16262.867906563848,15904.260085706212,15793.288585504652
2015-01-20,16265.01,15803.83,16265.01,15803.83,0.0,2.93,16262.975011235654,16012.485059994347,16123.493575651397
2015-01-21,16392.43,16265.35,16497.29,16239.01,0.0,0.78,16269.447760673873,16126.468541996044,16311.749072695415
2015-01-22,16776.87,16393.17,16776.87,16393.17,0.0,2.35,16294.818872640175,16321.588979397231,16637.333721808624
2015-01-23,16759.1,16787.92,16876.71,16678.33,0.0,-0.11,16318.032929008166,16452.842285578063,16722.57011654258
2015-01-26,16890.95,16758.93,16895.36,16484.06,0.0,0.79,16346.67878255776,16584.274599904646,16840.436034962775
2015-01-27,16952.24,16881.53,16962.99,16810.55,0.0,0.36,16376.956843429869,16694.664219933253,16918.698810488833
2015-01-28,16918.99,16985.88,17179.6,16918.99,0.0,-0.2,16404.05850125838,16761.961953953276,16918.902643146652
2015-01-29,16667.99,16904.19,16904.19,16616.52,0.0,-1.48,16417.25507619546,16733.77036776729,16743.263792943995
2015-01-30,16530.93,16658.04,16742.5,16477.68,0.0,-0.82,16422.938822385688,16672.9182574371,16594.6301378832
2015-02-02,16719.07,16574.02,16738.96,16499.24,0.0,1.14,16437.745381266403,16686.76378020597,16681.73804136496
2015-02-03,17258.06,16743.29,17258.06,16743.24,0.0,3.22,16478.761112203083,16858.152646144186,17085.163412409485
2015-02-04,17350.83,17271.51,17492.8,17084.18,0.0,0.54,16522.364556592933,17005.955852300922,17271.130023722846
2015-02-05,17211.61,17305.08,17427.39,17096.03,0.0,-0.8,16556.82682876328,17067.652096610647,17229.466007116855
2015-02-06,17339.13,17245.24,17339.13,17083.28,0.0,0.74,16595.941987325117,17149.095467627456,17306.230802135055
2015-02-09,17665.69,17267.31,17749.8,16955.64,0.0,1.88,16649.429387958862,17304.07382733922,17557.852240640514
2015-02-10,17942.13,17604.92,17979.97,17604.92,0.0,1.56,16714.064418560916,17495.490679137452,17826.846672192154
2015-02-11,17744.91,17920.04,17922.47,17605.9,0.0,-1.1,16765.60669763287,17570.316475396216,17769.49100165765
