Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,48512.22,50004.5,50004.5,48345.26,2880000.0,-2.99,48512.22,48512.22,48512.22
2015-01-05,47516.82,48512.22,48512.22,47263.91,3870000.0,-2.05,48462.45,48213.6,47815.44
2015-01-06,48000.92,47517.14,48061.28,47337.71,4560000.0,1.02,48439.3735,48149.796,47945.276
2015-01-07,49462.91,48006.05,49882.26,48006.05,4410000.0,3.05,48490.55032499999,48543.73020000001,49007.61979999999
2015-01-08,49943.3,49463.15,50260.72,49017.31,3620000.0,0.97,48563.18780874999,48963.60114000001,49662.59594
2015-01-09,48840.25,49954.7,49954.7,48500.66,3000000.0,-2.21,48577.04091831249,48926.59579800001,49086.953782
2015-01-12,48139.74,48839.73,48839.73,47955.85,3250000.0,-1.43,48555.17587239687,48690.53905860002,48423.9041346
2015-01-13,48041.67,48144.29,48939.41,48041.67,3880000.0,-0.2,48529.50057877701,48495.87834102001,48156.34024037999
2015-01-14,47645.87,48037.63,48280.82,47372.27,3700000.0,-0.82,48485.31904983817,48240.87583871401,47799.01107211399
2015-01-15,48026.31,47647.56,48853.42,47647.56,4460000.0,0.8,48462.368597346256,48176.50608709981,47958.12032163419
2015-01-16,49016.52,48028.38,49263.77,48028.38,3340000.0,2.06,48490.07616747894,48428.510260969866,48699.000096490265
2015-01-19,47758.01,49009.03,49009.03,47502.99,2100000.0,-2.57,48453.47285910499,48227.360182678916,48040.30702894707
2015-01-20,47876.66,47758.95,48687.34,47619.06,2900000.0,0.25,48424.63221614974,48122.15012787523,47925.75410868412
2015-01-21,49224.08,47887.9,49328.56,47887.9,3560000.0,2.81,48464.604605342254,48452.72908951266,48834.58223260524
2015-01-22,49442.62,49227.04,50281.33,49227.04,4950000.0,0.44,48513.50537507514,48749.69636265887,49260.208669781576
2015-01-23,48775.3,49432.13,49523.26,48496.12,3080000.0,-1.35,48526.59510632138,48757.37745386121,48920.77260093447
2015-01-26,48576.55,48711.61,48711.61,48004.44,2770000.0,-0.41,48529.092851005305,48703.12921770285,48679.81678028033
2015-01-27,48591.23,48576.55,48864.04,47351.88,3890000.0,0.03,48532.19970845504,48669.559452392,48617.80603408409
2015-01-28,47694.54,48589.22,48589.22,47550.17,4240000.0,-1.85,48490.31672303229,48377.053616674406,47971.51981022523
2015-01-29,47762.24,47696.22,47893.92,47006.51,4410000.0,0.14,48453.912886880666,48192.60953167208,47825.02394306757
2015-01-30,46907.68,47759.19,47759.19,46484.32,4850000.0,-1.79,48376.60124253664,47807.130672170446,47182.88318292028
2015-02-01,46907.68,46907.68,46907.68,46907.68,0.0,0.0,48303.15518040981,47537.29547051932,46990.240954876084
2015-02-02,47650.73,46933.49,47683.64,46760.19,3250000.0,1.58,48270.533921389324,47571.325829363515,47452.583286462825
2015-02-03,48963.66,47664.19,48992.88,47664.19,4820000.0,2.76,48305.19022531986,47989.02608055448,48510.33698593884
2015-02-04,49301.05,48964.93,49718.23,48213.76,4810000.0,0.69,48354.983214053864,48382.63325638814,49063.83609578166
2015-02-05,49233.85,49299.26,49816.29,49019.74,4000000.0,-0.14,48398.92655335117,48637.99827947169,49182.8458287345
2015-02-06,48792.27,49231.42,49231.42,48209.3,4590000.0,-0.9,48418.59372568361,48684.27979563019,48909.44274862034
