Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,4252.29,4294.05,4311.0,4224.34,69810000.0,-0.48,4252.29,4252.29,4252.29
2015-01-05,4111.36,4221.99,4276.92,4105.45,137890000.0,-3.31,4245.2435,4210.0109999999995,4153.638999999999
2015-01-06,4083.5,4129.89,4151.41,4076.16,130810000.0,-0.68,4237.156325,4172.0576999999985,4104.5417
2015-01-07,4112.73,4111.73,4144.95,4080.78,121320000.0,0.72,4230.93500875,4154.259389999998,4110.273509999999
2015-01-08,4260.19,4176.16,4270.11,4163.63,154420000.0,3.59,4232.3977583125,4186.038572999999,4215.215052999999
2015-01-09,4179.07,4249.26,4272.83,4149.14,139010000.0,-1.9,4229.731370396875,4183.9480011,4189.9135159
2015-01-12,4228.24,4196.78,4252.27,4165.15,129740000.0,1.18,4229.656801877031,4197.23560077,4216.7420547699985
2015-01-13,4290.28,4204.77,4310.58,4197.81,127790000.0,1.47,4232.68796178318,4225.148920539,4268.218616430999
2015-01-14,4223.24,4227.46,4302.22,4207.37,156380000.0,-1.56,4232.215563694021,4224.5762443773,4236.7335849293
2015-01-15,4323.2,4262.94,4338.73,4119.35,187410000.0,2.37,4236.764785509319,4254.16337106411,4297.260075478789
2015-01-16,4379.62,4303.55,4387.22,4294.76,174120000.0,1.31,4243.907546233853,4291.800359744877,4354.912022643637
2015-01-19,4394.93,4388.67,4423.25,4367.24,110720000.0,0.35,4251.458668922161,4322.739251821414,4382.924606793091
2015-01-20,4446.02,4406.96,4463.51,4405.94,141380000.0,1.16,4261.1867354760525,4359.7234762749895,4427.091382037927
2015-01-21,4484.82,4455.01,4484.82,4406.72,165150000.0,0.87,4272.36839870225,4397.252433392493,4467.501414611378
2015-01-22,4552.8,4486.76,4569.55,4462.17,214510000.0,1.52,4286.389978767137,4443.916703374744,4527.210424383414
2015-01-23,4640.69,4588.49,4673.3,4585.64,229400000.0,1.93,4304.1049798287795,4502.948692362322,4606.6461273150235
2015-01-26,4675.13,4620.0,4678.83,4616.61,131720000.0,0.74,4322.65623083734,4554.603084653625,4654.584838194507
2015-01-27,4624.21,4671.76,4679.26,4592.62,145810000.0,-1.09,4337.733919295474,4575.485159257538,4633.322451458352
2015-01-28,4610.94,4660.45,4660.88,4582.58,134660000.0,-0.29,4351.394223330702,4586.1216114802755,4617.654735437505
2015-01-29,4631.43,4571.05,4632.38,4571.05,120850000.0,0.44,4365.396012164167,4599.714128036194,4627.297420631252
2015-01-30,4604.25,4655.95,4660.71,4583.68,146500000.0,-0.59,4377.338711555958,4601.074889625335,4611.164226189376
2015-02-02,4627.67,4613.31,4646.55,4584.37,127610000.0,0.51,4389.855275978161,4609.053422737735,4622.718267856812
2015-02-03,4677.9,4651.07,4701.52,4645.15,146300000.0,1.09,4404.2575121792515,4629.7073959164145,4661.345480357044
2015-02-04,4696.3,4682.81,4696.3,4651.78,134800000.0,0.39,4418.85963657029,4649.6851771414895,4685.813644107113
2015-02-05,4703.3,4654.56,4705.1,4647.85,125070000.0,0.15,4433.081654741775,4665.769623999045,4698.054093232134
2015-02-06,4691.03,4698.84,4707.24,4675.37,154640000.0,-0.26,4445.979072004687,4673.347736799331,4693.13722796964
2015-02-09,4651.08,4652.16,4659.26,4611.15,143210000.0,-0.85,4456.2341184044535,4666.667415759532,4663.697168390891
2015-02-10,4695.65,4663.46,4716.49,4636.08,131610000.0,0.96,4468.20491248423,4675.3621910316715,4686.064150517267
2015-02-11,4679.38,4687.87,4694.44,4659.46,97390000.0,-0.35,4478.763666860018,4676.567533722171,4681.385245155178
