Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-04,11517.68,11517.68,11517.68,11517.68,0.0,0.0,11517.68,11517.68,11517.68
2015-01-05,11860.36,11517.68,11988.98,11517.68,0.0,2.98,11534.813999999997,11620.484,11757.556
2015-01-06,11769.39,11860.36,12065.66,11585.25,0.0,-0.77,11546.5428,11665.1558,11765.839799999998
2015-01-07,11760.97,11769.39,11898.42,11591.74,0.0,-0.07,11557.26416,11693.90006,11762.430939999998
2015-01-08,11391.75,11760.97,11847.05,11367.28,0.0,-3.14,11548.988452,11603.255042,11502.954281999999
2015-01-09,11431.36,11391.75,12000.61,11287.34,0.0,0.35,11543.107029400002,11551.6865294,11452.8382846
2015-01-12,11308.53,11431.36,11531.33,11100.49,0.0,-1.07,11531.37817793,11478.73957058,11351.82248538
2015-01-13,11242.34,11308.53,11401.86,11172.8,0.0,-0.59,11516.926269033502,11407.819699406002,11275.184745613999
2015-01-14,11255.96,11242.34,11425.81,11140.48,0.0,0.12,11503.877955581826,11362.2617895842,11261.727423684199
2015-01-15,11696.5,11255.96,11698.77,11165.38,0.0,3.91,11513.509057802734,11462.533252708941,11566.06822710526
2015-01-16,11756.48,11696.5,11906.76,11658.28,0.0,0.51,11525.657604912598,11550.717276896255,11699.356468131577
2015-01-19,10665.01,11756.48,11756.48,10619.74,0.0,-9.28,11482.625224666968,11285.00509382738,10975.313940439471
2015-01-20,10656.59,10665.01,10802.52,10433.08,0.0,-0.08,11441.32346343362,11096.480565679165,10752.207182131842
2015-01-21,11254.32,10656.59,11304.97,10656.59,0.0,5.61,11431.973290261938,11143.832395975414,11103.68615463955
2015-01-22,11237.48,11254.32,11313.06,11072.86,0.0,-0.15,11422.24862574884,11171.926677182793,11197.341846391862
2015-01-23,11334.26,11237.48,11546.34,11237.48,0.0,0.86,11417.8491944614,11220.626674027952,11293.18455391756
2015-01-26,11289.83,11334.26,11334.26,11141.88,0.0,-0.39,11411.448234738327,11241.387671819568,11290.836366175266
2015-01-27,11110.88,11289.83,11333.43,10891.75,0.0,-1.59,11396.419823001408,11202.235370273698,11164.86690985258
2015-01-28,10955.17,11110.88,11166.39,10900.89,0.0,-1.4,11374.35733185134,11128.115759191587,11018.079072955774
2015-01-29,10775.6,10955.17,10955.17,10667.13,0.0,-1.64,11344.419465258772,11022.361031434111,10848.343721886733
2015-01-30,10622.76,10775.6,10900.25,10590.66,0.0,-1.42,11308.336491995833,10902.480722003878,10690.435116566021
2015-02-02,10289.89,10622.76,10622.76,10276.3,0.0,-3.13,11257.414167396042,10718.703505402716,10410.053534969804
2015-02-03,10607.59,10289.89,10638.83,10289.89,0.0,3.09,11224.92295902624,10685.3694537819,10548.329060490942
2015-02-04,10473.16,10607.59,10761.47,10464.49,0.0,-1.27,11187.334811074928,10621.706617647327,10495.710718147282
2015-02-05,10369.92,10473.16,10855.06,10366.35,0.0,-0.99,11146.464070521182,10546.170632353133,10407.657215444184
2015-02-06,10257.36,10369.92,10433.78,10161.85,0.0,-1.09,11102.008866995124,10459.527442647191,10302.449164633255
2015-02-09,10429.87,10257.36,10538.8,10187.91,0.0,1.68,11068.401923645368,10450.630209853034,10391.643749389976
2015-02-10,10593.0,10429.87,10618.03,10381.42,0.0,1.56,11044.631827463101,10493.341146897124,10532.593124816993
2015-02-11,10629.44,10593.0,10673.17,10559.99,0.0,0.34,11023.872236089945,10534.170802827988,10600.3859374451
2015-02-12,10639.19,10629.44,10675.53,10497.96,0.0,0.09,11004.638124285446,10565.676561979591,10627.54878123353
2015-02-13,10684.78,10639.19,10841.38,10622.91,0.0,0.43,10988.645218071175,10601.407593385717,10667.61063437006
2015-02-16,10680.78,10684.78,10709.43,10608.06,0.0,-0.04,10973.251957167617,10625.21931537,10676.829190311018
2015-02-17,10768.42,10680.78,10839.89,10680.7,0.0,0.82,10963.010359309235,10668.179520759,10740.942757093304
2015-02-25,10609.69,10768.42,10781.54,10554.39,0.0,-1.47,10945.344341343774,10650.6326645313,10649.06582712799
2015-02-26,10901.77,10609.69,10922.37,10489.37,0.0,2.75,10943.165624276586,10725.973865171907,10825.958748138395
2015-02-27,10875.82,10901.77,10979.61,10841.57,0.0,-0.24,10939.798343062756,10770.927705620335,10860.861624441519
2015-03-02,10883.07,10875.82,10972.03,10795.75,0.0,0.07,10936.96192590962,10804.570393934237,10876.407487332455
2015-03-03,10510.57,10883.07,10883.07,10507.22,0.0,-3.42,10915.642329614138,10716.370275753963,10620.321246199735
2015-03-04,10504.63,10510.57,10584.61,10433.17,0.0,-0.06,10895.09171313343,10652.848193027774,10539.33737385992
2015-03-05,10324.83,10504.63,10504.63,10231.0,0.0,-1.71,10866.578627476758,10554.442735119444,10389.182212157975
2015-03-06,10321.95,10324.83,10419.58,10300.05,0.0,-0.03,10839.347196102919,10484.69491458361,10342.119663647392
2015-03-09,10608.2,10321.95,10664.72,10114.15,0.0,2.77,10827.789836297772,10521.746440208526,10528.375899094217
2015-03-10,10434.44,10608.2,10608.2,10417.71,0.0,-1.64,10808.122344482885,10495.554508145968,10462.620769728266
2015-03-11,10491.74,10434.44,10647.6,10434.44,0.0,0.55,10792.303227258737,10494.410155702177,10483.004230918481
2015-03-12,10838.27,10491.74,10939.41,10491.74,0.0,3.3,10794.6015658958,10597.568108991523,10731.690269275545
2015-03-13,10876.81,10838.27,11062.02,10801.4,0.0,0.36,10798.71198760101,10681.340676294069,10833.27408078266
2015-03-16,11115.44,10876.81,11117.16,10835.15,0.0,2.19,10814.54838822096,10811.570473405844,11030.7902242348
2015-03-17,11261.53,11115.44,11271.95,11115.39,0.0,1.31,10836.897468809912,10946.55833138409,11192.30806727044
2015-03-18,11527.66,11261.53,11529.6,11259.65,0.0,2.36,10871.435595369416,11120.888831968865,11427.054420181134
2015-03-19,11458.94,11527.66,11543.61,11391.31,0.0,-0.6,10900.810815600944,11222.304182378202,11449.374326054342
2015-03-20,11646.16,11458.94,11781.27,11408.61,0.0,1.63,10938.078274820897,11349.46092766474,11587.124297816299
2015-03-23,11838.85,11646.16,11859.63,11645.9,0.0,1.65,10983.116861079852,11496.27764936532,11763.33228934489
2015-03-24,11731.52,11838.85,11875.75,11569.8,0.0,-0.91,11020.53701802586,11566.850354555725,11741.063686803467
2015-03-25,11536.61,11731.52,11739.07,11458.99,0.0,-1.66,11046.340667124568,11557.778248189006,11597.94610604104
2015-03-26,11672.46,11536.61,11797.1,11398.19,0.0,1.18,11077.646633768338,11592.182773732307,11650.105831812307
2015-03-27,11679.44,11672.46,11793.69,11582.66,0.0,0.06,11107.73630207992,11618.359941612613,11670.639749543694
2015-03-30,12112.35,11679.44,12151.35,11673.6,0.0,3.71,11157.966986975924,11766.556959128833,11979.836924863108
