Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,9764.73,9869.13,9879.53,9687.26,67670000.0,-0.42,9764.73,9764.73,9764.73
2015-01-05,9473.16,9735.65,9790.27,9468.58,105540000.0,-2.99,9750.1515,9677.259,9560.631
2015-01-06,9469.66,9484.25,9624.65,9382.82,96810000.0,-0.04,9736.126925,9614.9793,9496.9513
2015-01-07,9518.18,9510.34,9592.37,9459.18,82470000.0,0.51,9725.22957875,9585.93951,9511.81139
2015-01-08,9837.61,9643.77,9855.43,9607.9,114830000.0,3.36,9730.8485998125,9661.440657,9739.870417
2015-01-09,9648.5,9813.99,9860.18,9601.75,107470000.0,-1.92,9726.731169821876,9657.5584599,9675.9111251
2015-01-12,9781.9,9697.46,9815.96,9622.32,101320000.0,1.38,9729.489611330782,9694.86092193,9750.10333753
2015-01-13,9941.0,9759.57,9978.94,9755.02,116360000.0,1.63,9740.065130764244,9768.702645350999,9883.731001259
2015-01-14,9817.08,9810.7,9962.98,9768.1,125070000.0,-1.25,9743.915874226032,9783.2158517457,9837.0753003777
2015-01-15,10032.61,9933.45,10063.18,9637.33,147820000.0,2.2,9758.35058051473,9858.03409622199,9973.949590113309
2015-01-16,10167.77,9985.51,10207.97,9940.64,141080000.0,1.35,9778.821551488994,9950.954867355396,10109.623877033991
2015-01-19,10242.35,10231.58,10293.04,10191.98,80650000.0,0.73,9801.997973914544,10038.373407148776,10202.532163110198
2015-01-20,10257.13,10278.55,10298.42,10211.39,109020000.0,0.14,9824.754575218816,10104.000385004145,10240.750648933059
2015-01-21,10299.23,10270.33,10311.9,10149.77,116240000.0,0.41,9848.478346457876,10162.569269502901,10281.686194679916
2015-01-22,10435.62,10300.26,10454.05,10228.53,151260000.0,1.32,9877.835429134982,10244.48448865203,10389.439858403975
2015-01-23,10649.58,10503.33,10704.32,10502.85,167800000.0,2.05,9916.422657678237,10366.013142056421,10571.537957521192
2015-01-26,10798.33,10592.97,10807.57,10589.07,105120000.0,1.4,9960.518024794324,10495.708199439494,10730.292387256357
2015-01-27,10628.58,10785.9,10810.57,10592.46,115890000.0,-1.57,9993.921123554608,10535.569739607648,10659.093716176909
2015-01-28,10710.97,10719.4,10728.83,10552.76,113070000.0,0.78,10029.773567376877,10588.189817725352,10695.407114853073
2015-01-29,10737.87,10666.43,10743.57,10607.72,100310000.0,0.25,10065.178389008035,10633.093872407748,10725.131134455922
2015-01-30,10694.32,10801.38,10804.04,10642.59,108710000.0,-0.41,10096.635469557634,10651.461710685424,10703.563340336776
2015-02-02,10828.01,10719.18,10828.01,10677.39,100490000.0,1.25,10133.20419607975,10704.426197479796,10790.676002101032
2015-02-03,10890.95,10867.61,10984.69,10860.03,134340000.0,0.58,10171.091486275764,10760.383338235855,10860.867800630307
2015-02-04,10911.32,10892.5,10912.24,10803.1,98690000.0,0.19,10208.102911961976,10805.6643367651,10896.184340189091
2015-02-05,10905.41,10840.79,10926.73,10822.75,87660000.0,-0.05,10242.968266363878,10835.58803573557,10902.642302056729
2015-02-06,10846.39,10866.2,10877.67,10802.89,78680000.0,-0.54,10273.139353045684,10838.8286250149,10863.265690617018
2015-02-09,10663.51,10765.21,10767.22,10614.12,102800000.0,-1.69,10292.657885393399,10786.23303751043,10723.436707185103
2015-02-10,10753.83,10675.59,10797.46,10594.32,93680000.0,0.85,10315.716491123729,10776.5121262573,10744.712012155529
2015-02-11,10752.11,10765.0,10791.59,10696.78,69850000.0,-0.02,10337.536166567541,10769.191488380113,10749.89060364666
2015-02-12,10919.65,10746.91,10955.45,10746.91,107100000.0,1.56,10366.641858239163,10814.329041866076,10868.722181093997
2015-02-13,10963.4,10952.39,11013.85,10948.49,99480000.0,0.4,10396.479765327205,10859.050329306254,10934.996654328199
2015-02-16,10923.23,10946.88,10963.49,10909.49,62000000.0,-0.37,10422.817277060843,10878.304230514375,10926.759996298459
2015-02-17,10895.62,10847.73,10921.26,10765.02,77400000.0,-0.25,10446.457413207803,10883.498961360063,10904.961998889536
2015-02-18,10961.0,10931.72,10980.98,10909.6,70940000.0,0.6,10472.184542547413,10906.749272952044,10944.18859966686
2015-02-19,11001.94,10932.49,11022.26,10874.97,88000000.0,0.37,10498.67231542004,10935.306491066429,10984.61457990006
2015-02-20,11050.64,10976.77,11081.81,10946.9,136030000.0,0.44,10526.27069964904,10969.9065437465,11030.832373970017
2015-02-23,11130.92,11150.47,11158.55,11069.77,76630000.0,0.73,10556.503164666588,11018.210580622548,11100.893712191004
2015-02-24,11205.74,11128.17,11228.37,11090.73,82590000.0,0.67,10588.965006433256,11074.469406435785,11174.2861136573
2015-02-25,11210.27,11208.27,11225.6,11174.78,80920000.0,0.04,10620.030256111591,11115.209584505048,11199.47483409719
