Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-01,429.99,422.77,430.72,421.41,0.0,0.0,429.99,429.99,429.99
2015-01-02,429.99,422.77,430.72,421.41,0.0,0.0,429.99,429.99,429.99
2015-01-05,440.88,430.34,443.54,430.34,0.0,2.53,430.5345,433.257,437.61300000000006
2015-01-06,440.49,438.82,444.66,434.2,0.0,-0.09,431.03227500000014,435.42690000000016,439.6269
2015-01-07,441.74,438.36,443.74,436.54,0.0,0.28,431.5676612500001,437.32083,441.10606999999993
2015-01-08,431.91,442.15,443.18,431.18,0.0,-2.23,431.58477818750015,435.697581,434.668821
2015-01-09,430.24,431.91,445.36,429.29,0.0,-0.39,431.51753927812507,434.06030670000007,431.56864630000007
2015-01-12,424.16,430.24,430.42,419.19,0.0,-1.41,431.1496623142188,431.09021469000015,426.38259389
2015-01-13,424.61,423.66,428.43,422.25,0.0,0.11,430.82267919850784,429.1461502830001,425.141778167
2015-01-14,423.68,425.64,428.21,420.24,0.0,-0.22,430.46554523858254,427.5063051981001,424.1185334501
2015-01-15,435.39,423.68,435.4,422.07,0.0,2.76,430.7117679766532,429.87141363867005,432.00856003503
2015-01-16,439.33,436.78,441.92,435.03,0.0,0.9,431.1426795778207,432.708989547069,437.13356801050895
2015-01-19,407.36,425.12,425.12,404.48,0.0,-7.28,429.9535455989296,425.1042926829483,416.2920704031527
2015-01-20,413.59,405.33,415.54,404.59,0.0,1.53,429.1353683189832,421.65000487806384,414.4006211209458
2015-01-21,431.27,415.93,432.23,415.19,0.0,4.27,429.242099903034,424.5360034146446,426.2091863362837
2015-01-22,434.58,431.38,435.37,428.39,0.0,0.77,429.5089949078823,427.54920239025114,432.06875590088487
2015-01-23,435.13,436.09,441.37,432.49,0.0,0.13,429.7900451624882,429.8234416731758,434.2116267702655
2015-01-26,439.84,435.13,439.94,433.13,0.0,1.08,430.29254290436376,432.82840917122314,438.1514880310796
2015-01-27,437.07,439.84,440.9,429.16,0.0,-0.63,430.6314157591457,434.1008864198561,437.394446409324
2015-01-28,432.27,437.07,438.44,430.84,0.0,-1.1,430.7133449711883,433.5516204938992,433.8073339227971
2015-01-29,427.28,432.27,432.27,424.21,0.0,-1.15,430.5416777226288,431.6701343457296,429.2382001768392
2015-01-30,421.34,427.27,430.84,421.34,0.0,-1.39,430.0815938364975,428.57109404201066,423.70946005305166
2015-02-02,412.81,421.34,421.34,411.58,0.0,-2.02,429.2180141446726,423.84276582940737,416.07983801591547
2015-02-03,422.08,412.81,422.39,412.81,0.0,2.25,428.86111343743903,423.31393608058517,420.2799514047746
2015-02-04,418.32,422.08,426.23,418.06,0.0,-0.89,428.3340577655671,421.81575525640966,418.90798542143233
2015-02-05,414.17,418.33,427.83,414.15,0.0,-0.99,427.62585487728876,419.5220286794868,415.5913956264297
2015-02-06,407.45,414.17,414.65,404.55,0.0,-1.62,426.6170621334242,415.9004200756408,409.89241868792885
2015-02-09,410.2,407.45,413.22,404.89,0.0,0.67,425.79620902675316,414.19029405294856,410.1077256063786
2015-02-10,416.22,410.2,416.25,409.07,0.0,1.47,425.3173985754153,414.799205837064,414.3863176819136
2015-02-11,419.38,416.22,420.29,416.22,0.0,0.76,425.02052864664466,416.1734440859448,417.8818953045741
2015-02-12,421.06,419.38,422.03,416.68,0.0,0.4,424.82250221431235,417.6394108601614,420.1065685913722
