Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,17832.99,17823.07,17951.78,17731.3,76270000.0,0.06,17832.99,17832.99,17832.99
2015-01-05,17501.65,17821.3,17821.3,17475.93,116160000.0,-1.86,17816.423000000006,17733.588000000003,17601.052
2015-01-06,17371.64,17504.18,17581.05,17262.37,101870000.0,-0.74,17794.183850000005,17625.003600000004,17440.4636
2015-01-07,17584.52,17374.78,17597.08,17374.78,91030000.0,1.23,17783.700657500005,17612.858519999998,17541.303079999998
2015-01-08,17907.87,17591.97,17916.04,17591.97,114890000.0,1.84,17789.909124625006,17701.361964000003,17797.899923999998
2015-01-09,17737.37,17911.02,17915.32,17686.09,93390000.0,-0.95,17787.282168393755,17712.164374800002,17755.528977199996
2015-01-12,17640.84,17742.05,17793.88,17571.58,92500000.0,-0.54,17779.960059974066,17690.76706236,17675.24669316
2015-01-13,17613.68,17645.02,17923.01,17498.23,99360000.0,-0.15,17771.646056975358,17667.640943651997,17632.150007948
2015-01-14,17427.09,17609.06,17609.06,17264.9,109180000.0,-1.06,17754.4182541266,17595.475660556396,17488.6080023844
2015-01-15,17320.71,17436.3,17517.41,17298.04,94520000.0,-0.61,17732.732841420268,17513.045962389482,17371.07940071532
2015-01-16,17511.57,17320.0,17528.37,17243.55,140480000.0,1.1,17721.674699349252,17512.603173672636,17469.422820214593
2015-01-20,17515.23,17516.96,17588.7,17346.73,119600000.0,0.02,17711.35246438179,17513.391221570844,17501.487846064374
2015-01-21,17554.28,17509.96,17599.58,17396.04,95530000.0,0.22,17703.498841162702,17525.65785509959,17538.442353819308
2015-01-22,17813.98,17557.29,17840.89,17482.54,111980000.0,1.48,17709.022899104566,17612.15449856972,17731.31870614579
2015-01-23,17672.6,17812.5,17812.5,17667.53,97110000.0,-0.79,17707.201754149337,17630.2881489988,17690.215611843734
2015-01-26,17678.7,17668.11,17696.36,17567.6,87220000.0,0.03,17705.776666441867,17644.811704299158,17682.15468355312
2015-01-27,17387.21,17638.53,17638.53,17288.31,135940000.0,-1.65,17689.84833311978,17567.53119300941,17475.693405065933
2015-01-28,17191.37,17402.91,17484.41,17189.0,115980000.0,-1.13,17664.924416463793,17454.682835106585,17276.667021519774
2015-01-29,17416.85,17195.29,17433.13,17136.3,111690000.0,1.31,17652.520695640596,17443.33298457461,17374.79510645593
2015-01-30,17164.95,17416.85,17419.9,17156.82,168560000.0,-1.45,17628.142160858566,17359.818089202232,17227.903531936783
2015-02-02,17361.04,17169.99,17367.68,17037.76,108090000.0,1.14,17614.787052815638,17360.18466244156,17321.099059581033
2015-02-03,17666.4,17369.97,17670.76,17369.97,112860000.0,1.76,17617.367700174855,17452.04926370909,17562.80971787431
2015-02-04,17673.02,17664.99,17782.22,17603.21,102560000.0,0.04,17620.15031516611,17518.340484596363,17639.95691536229
2015-02-05,17884.88,17677.26,17889.58,17677.26,79890000.0,1.2,17633.38679940781,17628.302339217455,17811.403074608686
