Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,19130.26,19156.72,19246.76,18919.65,513820000.00000006,0.62,19130.26,19130.26,19130.26
2015-01-04,19130.26,19130.26,19130.26,19130.26,0.0,0.0,19130.26,19130.26,19130.26
2015-01-05,18188.44,18961.03,19190.24,18188.44,836170000.0,-4.92,19083.169,18847.714,18470.986
2015-01-06,18143.26,18298.26,18523.74,18041.32,703940000.0,-0.25,19036.17355,18636.3778,18241.577799999995
2015-01-07,18123.45,18226.43,18478.11,17991.76,752620000.0,-0.11,18990.5373725,18482.49946,18158.88834
2015-01-08,18791.83,18393.0,18857.66,18247.95,940260000.0,3.69,18980.602003875,18575.298622,18601.947502000006
2015-01-09,18177.09,18684.58,18849.2,18052.81,915120000.0,-3.27,18940.42640368125,18455.836035400003,18304.5472506
2015-01-12,18349.15,18310.17,18429.68,18031.76,619600000.0,0.95,18910.862583497186,18423.83022478,18335.76917518
2015-01-13,18708.93,18251.29,18790.39,18229.34,721970000.0,1.96,18900.76595432233,18509.360157346,18596.981752554
2015-01-14,18410.68,18451.36,18849.02,18400.66,817260000.0,-1.59,18876.26165660621,18479.7561101422,18466.5705257662
2015-01-15,18844.52,18646.93,18970.97,18066.31,989430000.0,2.36,18874.6745737759,18589.18527709954,18731.13515772986
2015-01-16,19254.54,18763.42,19254.54,18731.5,841150000.0,2.18,18893.667845087108,18788.79169396968,19097.51854731896
2015-01-19,19480.53,19255.25,19609.08,19149.35,1010000000.0,1.17,18923.010952832752,18996.31318577877,19365.626564195685
2015-01-20,19658.66,19545.68,19729.23,19481.78,1040000000.0,0.91,18959.793405191114,19195.01723004514,19570.749969258704
2015-01-21,19981.41,19724.05,19981.41,19449.93,1230000000.0,1.64,19010.87423493156,19430.9350610316,19858.21199077761
2015-01-22,20469.74,20021.25,20556.29,20012.41,1350000000.0,2.44,19083.817523184982,19742.57654272212,20286.281597233283
2015-01-23,20519.75,20594.37,20676.7,20389.24,1310000000.0,0.24,19155.61414702573,19975.728579905484,20449.709479169982
2015-01-26,20756.72,20348.83,20756.72,20238.95,813580000.0,1.15,19235.669439674442,20210.02600593384,20664.616843750995
2015-01-27,20645.82,20714.78,20778.39,20454.82,765290000.0,-0.53,19306.17696769072,20340.764204153693,20651.459053125294
2015-01-28,20478.44,20759.47,20802.73,20422.92,826930000.0,-0.81,19364.790119306184,20382.066942907582,20530.345715937587
2015-01-29,20593.72,20413.93,20645.51,20231.29,947110000.0,0.56,19426.23661334088,20445.56286003531,20574.707714781278
2015-01-30,20503.38,20679.5,20723.22,20411.02,1060000000.0,-0.44,19480.09378267384,20462.90800202472,20524.77831443438
2015-02-02,20485.69,20596.35,20605.18,20286.43,907510000.0,-0.09,19530.373593540146,20469.742601417303,20497.41649433031
2015-02-03,21011.55,20626.97,21011.55,20602.55,1030000000.0,2.57,19604.43241386313,20632.284820992118,20857.30994829909
2015-02-04,20941.73,21005.73,21072.42,20848.98,968850000.0,-0.33,19671.297293169977,20725.11837469448,20916.40398448973
2015-02-05,20819.05,20731.47,20859.19,20621.43,833800000.0,-0.59,19728.68492851148,20753.297862286134,20848.25619534692
2015-02-06,20760.74,20824.7,20892.52,20703.95,732350000.0,-0.28,19780.287682085902,20755.530503600294,20786.99485860408
2015-02-09,20366.64,20534.11,20604.9,20246.54,850940000.0,-1.9,19809.60529798161,20638.86335252021,20492.74645758122
2015-02-10,20725.63,20417.94,20798.19,20330.09,847660000.0,1.76,19855.406533082525,20664.893346764147,20655.76493727436
2015-02-11,20565.76,20785.8,20794.6,20518.44,822210000.0,-0.77,19890.9242064284,20635.153342734906,20592.761481182308
2015-02-12,21002.91,20543.72,21060.71,20496.59,1190000000.0,2.13,19946.523496106984,20745.48033991443,20879.86544435469
2015-02-13,21204.07,21106.98,21287.81,21088.43,1090000000.0,0.96,20009.400821301635,20883.057237940106,21106.80863330641
2015-02-16,21165.84,21145.22,21280.73,21079.37,694200000.0,-0.18,20067.222780236552,20967.89206655807,21148.13058999192
2015-02-17,21266.25,21070.15,21328.25,20890.41,871600000.0,0.47,20127.174141224725,21057.399446590647,21230.81417699757
2015-02-18,21659.33,21495.77,21659.33,21453.38,892160000.0,1.85,20203.78193416349,21237.978612613453,21530.77525309928
2015-02-19,21789.98,21620.19,21801.61,21531.91,980710000.0,0.6,20283.091837455315,21403.579028829416,21712.21857592978
2015-02-20,21842.57,21628.07,21852.62,21609.64,1040000000.0,0.24,20361.06574558255,21535.27632018059,21803.464572778932
2015-02-23,21964.29,22040.61,22083.47,21862.77,1100000000.0,0.56,20441.226958303414,21663.98042412641,21916.04237183368
2015-02-24,22149.75,21969.49,22167.17,21775.59,863080000.0,0.84,20526.653110388248,21809.71129688849,22079.637711550098
2015-02-25,21937.24,22109.47,22133.32,21853.07,677280000.0,-0.96,20597.182454868842,21847.969907821942,21979.959313465028
2015-02-26,22165.13,21934.63,22172.62,21910.34,837350000.0,1.04,20675.5798321254,21943.11793547536,22109.578794039517
2015-02-27,22337.79,22175.65,22338.82,22098.43,796900000.0,0.78,20758.690340519122,22061.519554832754,22269.32663821185
2015-03-02,22297.6,22381.46,22514.89,22184.06,782600000.0,-0.18,20835.635823493165,22132.34368838293,22289.117991463554
2015-03-03,21987.18,22365.8,22410.97,21942.47,929970000.0,-1.39,20893.213032318505,22088.794581868053,22077.761397439062
2015-03-04,22131.08,22087.24,22131.08,21860.52,802360000.0,0.65,20955.106380702582,22101.480207307635,22115.08441923172
2015-03-05,22400.08,22230.03,22444.44,22124.02,815540000.0,1.22,21027.35506166745,22191.06014511534,22314.581325769515
2015-03-06,22436.13,22449.49,22575.4,22370.82,866340000.0,0.16,21097.793808584083,22264.58110158074,22399.66539773085
2015-03-09,22564.35,22345.2,22567.89,22250.32,777100000.0,0.57,21171.12161815488,22354.511771106518,22514.944619319253
2015-03-10,22345.77,22594.3,22631.37,22280.21,747410000.0,-0.97,21229.854037247136,22351.889239774562,22396.522385795768
2015-03-11,22833.04,22409.4,22860.68,22408.78,1030000000.0,2.18,21310.01333538478,22496.2344678422,22702.084715738725
2015-03-12,22809.01,22828.24,22893.1,22772.87,784110000.0,-0.11,21384.96316861554,22590.067127489536,22776.932414721618
2015-03-13,22713.59,22907.37,22924.8,22579.89,796230000.0,-0.42,21451.394510184764,22627.123989242675,22732.592724416485
2015-03-16,22930.92,22784.96,23008.89,22756.57,903090000.0,0.96,21525.370784675528,22718.262792469868,22871.421817324946
2015-03-17,22723.06,22961.06,22987.55,22603.55,768820000.0,-0.91,21585.25524544176,22719.701954728916,22767.56854519748
