Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,6547.8,6566.09,6607.89,6510.6,378930000.0,-0.28,6547.8,6547.8,6547.8
2015-01-05,6417.16,6547.8,6576.74,6404.49,750520000.0,-2.0,6541.268,6508.608,6456.352
2015-01-06,6366.51,6417.16,6452.66,6328.59,793260000.0,-0.79,6532.5301,6465.9786,6393.4626
2015-01-07,6419.83,6366.51,6459.74,6366.51,709500000.0,0.84,6526.895095,6452.13402,6411.919779999997
2015-01-08,6569.96,6419.83,6580.82,6419.83,910040000.0,2.34,6529.04834025,6487.4818140000025,6522.547933999997
2015-01-09,6501.14,6569.96,6570.24,6471.38,761330000.0,-1.05,6527.652923237501,6491.579269800001,6507.562380199999
2015-01-12,6501.42,6501.14,6542.43,6447.91,620940000.0,0.0,6526.341277075625,6494.531488860001,6503.26271406
2015-01-13,6542.2,6501.42,6558.83,6465.19,694410000.0,0.63,6527.134213221844,6508.832042202001,6530.518814218
2015-01-14,6388.46,6542.2,6542.2,6353.65,1000000000.0,-2.35,6520.200502560752,6472.7204295414,6431.0776442654005
2015-01-15,6498.78,6388.46,6498.78,6298.15,1010000000.0,1.73,6519.1294774327125,6480.53830067898,6478.4692932796215
2015-01-16,6550.27,6498.78,6553.2,6443.28,830660000.0,0.79,6520.686503561078,6501.4578104752845,6528.729787983885
2015-01-19,6585.53,6550.27,6598.89,6548.0,554550000.0,0.54,6523.928678383024,6526.6794673327,6568.4899363951645
2015-01-20,6620.1,6585.53,6640.44,6585.53,697940000.0,0.52,6528.737244463872,6554.705627132889,6604.6169809185485
2015-01-21,6728.04,6620.1,6728.04,6620.1,873750000.0,1.63,6538.702382240677,6606.705938993023,6691.013094275564
2015-01-22,6796.63,6728.04,6808.18,6726.24,954660000.0,1.02,6551.5987631286425,6663.683157295116,6764.944928282668
2015-01-23,6832.83,6796.63,6841.73,6796.58,863800000.0,0.53,6565.660324972212,6714.427210106581,6812.464478484802
2015-01-26,6852.4,6832.83,6855.92,6790.13,630840000.0,0.29,6579.997308723601,6755.819047074607,6840.419343545439
