Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,159.71,160.83,161.79,159.57,24090.0,-0.7,159.71,159.71,159.71
2015-01-06,163.14,159.66,163.22,156.99,35320.0,2.15,159.88150000000005,160.739,162.111
2015-01-07,163.57,163.14,165.93,162.14,32590.000000000004,0.26,160.06592500000005,161.5883,163.1323
2015-01-08,163.07,163.51,164.83,162.18,26170.0,-0.31,160.21612875000002,162.03280999999996,163.08868999999999
2015-01-09,166.71,162.65,167.69,162.36,40960.0,2.23,160.5408223125,163.435967,165.623607
2015-01-12,164.85,166.47,167.64,164.08,29770.0,-1.12,160.75628119687505,163.8601769,165.08208209999995
2015-01-13,165.76,163.12,167.03,161.62,27600.0,0.55,161.00646713703128,164.43012383,165.55662463
2015-01-14,165.01,165.27,166.53,163.21,35070.0,-0.45,161.20664378017972,164.60408668099996,165.173987389
2015-01-15,167.96,164.07,168.62,162.28,49970.0,1.79,161.54431159117073,165.6108606767,167.1241962167
2015-01-16,167.07,167.52,169.12,166.8,33680.0,-0.53,161.82059601161214,166.04860247368998,167.08625886501002
2015-01-19,166.38,165.28,169.1,165.28,25770.0,-0.41,162.04856621103158,166.14802173158301,166.59187765950296
2015-01-20,165.6,166.97,167.61,164.65,23070.0,-0.47,162.22613790047996,165.9836152121081,165.89756329785087
2015-01-21,163.72,165.6,166.17,163.7,21890.0,-1.14,162.30083100545602,165.30453064847563,164.37326898935527
2015-01-22,166.0,163.13,166.79,163.06,25740.0,1.39,162.48578945518318,165.51317145393298,165.51198069680657
2015-01-23,169.01,165.9,169.5,165.9,35350.0,1.81,162.81199998242403,166.56222001775308,167.96059420904197
2015-01-26,168.61,169.01,170.5,168.4,25550.0,-0.24,163.10189998330281,167.1765540124272,168.4151782627126
2015-01-27,165.94,168.65,169.76,164.27,54390.0,-1.58,163.24380498413763,166.80558780869904,166.68255347881373
2015-01-28,168.28,165.94,168.92,164.31,44930.0,1.41,163.49561473493074,167.2479114660893,167.80076604364407
2015-01-29,168.43,168.28,169.05,166.72,31990.0,0.09,163.74233399818422,167.60253802626252,168.24122981309324
2015-01-30,164.48,168.19,168.48,163.85,30370.0,-2.35,163.77921729827503,166.66577661838375,165.60836894392799
2015-02-02,162.84,164.48,165.42,162.23,22850.0,-1.0,163.73225643336127,165.51804363286863,163.67051068317838
2015-02-03,158.72,162.84,163.97,158.72,30470.0,-2.53,163.48164361169322,163.47863054300802,160.20515320495355
2015-02-04,160.23,158.28,160.33,157.59,22220.0,0.95,163.31906143110857,162.5040413801056,160.22254596148605
2015-02-05,160.28,159.64,161.91,158.69,19670.0,0.03,163.16710835955314,161.83682896607394,160.26276378844582
2015-02-06,162.46,160.23,162.86,158.77,18060.0,1.36,163.13175294157546,162.02378027625176,161.80082913653376
2015-02-09,161.19,162.49,163.26,160.94,15610.0,-0.78,163.03466529449668,161.77364619337627,161.3732487409601
2015-02-10,161.56,161.14,162.92,161.06,20190.0,0.23,162.96093202977187,161.70955233536336,161.50397462228796
2015-02-11,163.75,159.09,163.75,159.06,19370.0,1.36,163.00038542828327,162.32168663475434,163.07619238668642
2015-02-12,164.29,163.75,165.23,163.75,23520.0,0.33,163.0648661568691,162.91218064432803,163.9258577160059
2015-02-13,165.18,164.29,166.01,164.29,16250.0,0.54,163.17062284902562,163.59252645102958,164.80375731480174
2015-02-24,167.01,165.28,167.48,165.28,13730.0,1.11,163.3625917065744,164.61776851572068,166.3481271944405
2015-02-25,165.01,166.46,168.49,165.01,30610.0,-1.2,163.44496212124562,164.7354379610045,165.41143815833215
2015-02-26,166.36,165.04,166.58,164.21,21260.0,0.82,163.59071401518338,165.22280657270315,166.07543144749962
2015-02-27,165.69,166.36,167.12,163.38,19370.0,-0.4,163.69567831442419,165.36296460089218,165.80562943424988
2015-03-02,164.67,165.87,166.01,164.45,15610.0,-0.62,163.74439439870295,165.15507522062455,165.01068883027494
2015-03-03,166.93,164.14,166.93,161.57,23500.0,1.37,163.90367467876789,165.68755265443718,166.35420664908247
2015-03-04,168.72,166.93,168.72,166.92,32100.0,1.07,164.14449094482947,166.59728685810603,168.01026199472471
2015-03-05,168.96,168.77,170.3,168.4,32450.000000000004,0.14,164.385266397588,167.30610080067422,168.67507859841743
2015-03-06,168.47,168.44,169.56,167.83,19930.0,-0.29,164.5895030777086,167.6552705604719,168.53152357952519
2015-03-09,165.38,168.47,168.56,165.38,18350.0,-1.83,164.62902792382312,166.97268939233038,166.32545707385756
2015-03-10,166.23,165.33,166.52,165.17,23450.0,0.51,164.70907652763202,166.74988257463124,166.2586371221573
2015-03-11,165.31,166.23,166.49,165.12,20920.0,-0.55,164.73912270125038,166.31791780224188,165.59459113664718
2015-03-12,165.34,165.26,166.16,164.47,14090.0,0.02,164.7691665661879,166.0245424615693,165.41637734099416
2015-03-13,164.63,165.34,166.23,164.46,14330.0,-0.43,164.76220823787847,165.60617972309853,164.86591320229823
2015-03-16,162.72,164.63,164.65,162.72,22660.0,-1.16,164.66009782598454,164.74032580616898,163.36377396068946
2015-03-17,163.6,162.71,163.92,162.26,30300.0,0.54,164.6070929346853,164.39822806431832,163.5291321882068
2015-03-18,162.87,161.31,164.02,160.99,24730.0,-0.45,164.52023828795106,163.9397596450228,163.06773965646204
2015-03-19,161.85,162.82,164.92,160.54,22220.0,-0.63,164.3867263735535,163.31283175151594,162.2153218969386
2015-03-20,162.95,159.66,162.99,159.61,19230.0,0.68,164.31489005487586,163.20398222606116,162.72959656908156
2015-03-23,159.72,163.14,163.29,159.72,25790.0,-1.98,164.08514555213205,162.1587875582428,160.62287897072446
2015-03-24,158.56,159.7,159.84,156.93,20800.0,-0.73,163.80888827452543,161.07915129076997,159.17886369121732
2015-03-25,157.32,158.55,159.58,157.32,18460.0,-0.78,163.48444386079916,159.95140590353898,157.8776591073652
2015-03-26,157.42,155.31,158.82,155.31,16550.0,0.06,163.18122166775922,159.19198413247733,157.55729773220958
2015-03-27,156.07,157.42,159.16,156.07,28700.0,-0.86,162.82566058437124,158.25538889273412,156.51618931966289
2015-03-30,153.55,156.07,157.14,153.28,22250.0,-1.61,162.3618775551527,156.8437722249139,154.43985679589886
2015-03-31,155.24,153.55,155.88,153.55,16329.999999999998,1.1,162.00578367739504,156.36264055743973,154.99995703876962
2015-04-01,150.41,153.32,155.21,150.1,24250.0,-3.11,161.42599449352528,154.57684839020789,151.78698711163088
2015-04-02,153.64,149.95,153.87,149.63,17480.0,2.15,161.03669476884903,154.29579387314547,153.08409613348925
2015-04-03,154.12,153.76,154.39,152.76,11590.0,0.31,160.69086003040658,154.24305571120183,153.8092288400468
2015-04-06,153.31,153.6,154.65,153.05,12450.0,-0.53,160.32181702888624,153.96313899784127,153.45976865201402
2015-04-07,155.1,153.26,155.16,152.84,22740.0,1.17,160.0607261774419,154.3041972984889,154.6079305956042
2015-04-08,154.11,155.29,156.0,154.1,13410.0,-0.64,159.7631898685698,154.24593810894225,154.25937917868126
2015-04-09,155.11,154.11,155.92,153.84,16750.0,0.65,159.53053037514132,154.50515667625956,154.85481375360442
2015-04-10,156.73,154.93,157.48,154.93,19370.0,1.04,159.39050385638427,155.1726096733817,156.1674441260813
2015-04-13,155.24,156.73,157.46,155.24,15480.0,-0.95,159.18297866356502,155.19282677136718,155.5182332378244
2015-04-14,154.61,155.24,156.25,153.11,15910.0,-0.41,158.95432973038675,155.01797873995702,154.88246997134732
2015-04-15,157.36,154.61,157.41,154.61,23140.0,1.78,158.87461324386743,155.7205851179699,156.61674099140419
2015-04-16,158.48,157.3,159.38,157.17,24310.0,0.71,158.85488258167402,156.5484095825789,157.92102229742125
