Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,23857.82,23683.63,23867.46,23635.6,1800000000.0,1.07,23857.82,23857.82,23857.82
2015-01-05,23721.32,23699.19,23998.87,23655.52,2590000000.0,-0.57,23850.99500000001,23816.87,23762.27
2015-01-06,23485.41,23515.13,23611.0,23312.5,2620000000.0,-0.99,23832.71575000001,23717.432,23568.468
2015-01-07,23681.26,23396.7,23715.71,23332.03,2180000000.0,0.83,23825.14296250001,23706.5804,23647.4224
2015-01-08,23835.53,23920.35,23941.64,23719.05,2010000000.0,0.65,23825.662314375004,23745.26528,23779.097719999998
2015-01-09,23919.95,24049.7,24169.06,23859.49,2330000000.0,0.35,23830.37669865625,23797.670696,23877.694316
2015-01-12,24026.46,24118.59,24118.59,23905.01,1410000000.0,0.45,23840.180863723443,23866.307487200003,23981.8302948
2015-01-13,24215.97,23908.23,24254.11,23908.23,1390000000.0,0.79,23858.97032053727,23971.206241040003,24145.72808844
2015-01-14,24112.6,24276.33,24326.7,24056.22,1510000000.0,-0.43,23871.65180451041,24013.624368727997,24122.538426532003
2015-01-15,24350.91,24169.35,24369.0,24070.39,1750000000.0,0.99,23895.614714284893,24114.8100581096,24282.398527959598
2015-01-16,24103.52,24196.85,24253.09,24086.21,1720000000.0,-1.02,23906.009978570644,24111.42304067672,24157.183558387882
2015-01-19,23738.49,23971.23,24049.55,23590.05,3040000000.0,-1.51,23897.633979642113,23999.543128473706,23864.098067516363
2015-01-20,23951.16,23798.46,23997.31,23747.92,1630000000.0,0.9,23900.31028066001,23985.028189931603,23925.041420254907
2015-01-21,24352.58,24036.41,24373.28,24016.63,1900000000.0,1.68,23922.923766627006,24095.29373295212,24224.31842607647
2015-01-22,24522.63,24480.02,24589.62,24438.98,1730000000.0,0.7,23952.909078295655,24223.494613066483,24433.136527822946
2015-01-23,24850.45,24807.36,24896.22,24726.77,2450000000.0,1.34,23997.786124380873,24411.581229146545,24725.25595834689
2015-01-26,24909.9,24907.19,24916.49,24761.55,1360000000.0,0.24,24043.391818161832,24561.076860402583,24854.506787504062
2015-01-27,24807.28,24995.08,24995.08,24672.76,1710000000.0,-0.41,24081.58622725374,24634.937802281802,24821.448036251226
2015-01-28,24861.81,24799.98,24983.89,24716.68,1400000000.0,0.22,24120.59741589105,24702.999461597265,24849.701410875365
2015-01-29,24595.85,24645.2,24739.22,24524.18,1920000000.0,-1.07,24144.3600450965,24670.854623118084,24672.005423262606
2015-01-30,24507.05,24771.37,24771.37,24450.05,1480000000.0,-0.36,24162.49454284167,24621.713236182666,24556.536626978774
2015-02-02,24484.74,24347.27,24506.81,24324.37,1620000000.0,-0.09,24178.60681569959,24580.621265327867,24506.278988093636
2015-02-03,24554.78,24542.49,24602.6,24327.51,1550000000.0,0.29,24197.41547491461,24572.868885729502,24540.229696428087
2015-02-04,24679.76,24750.76,24824.58,24642.5,1840000000.0,0.51,24221.532701168882,24604.936220010648,24637.900908928423
2015-02-05,24765.49,25048.26,25048.26,24642.81,2420000000.0,0.35,24248.73056611044,24653.102354007457,24727.21327267853
2015-02-06,24679.39,24843.2,24843.2,24645.76,1440000000.0,-0.35,24270.263537804924,24660.98864780522,24693.736981803555
2015-02-09,24521.0,24529.55,24657.87,24449.48,1330000000.0,-0.64,24282.80036091467,24618.99205346365,24572.82109454107
2015-02-10,24528.1,24475.04,24583.79,24422.85,1060000000.0,0.03,24295.065342868937,24591.72443742456,24541.51632836232
2015-02-11,24315.02,24512.62,24551.74,24266.68,1300000000.0,-0.87,24296.063075725488,24508.713106197192,24382.96889850869
2015-02-12,24422.15,24377.59,24514.49,24226.29,1470000000.0,0.44,24302.36742193921,24482.74417433804,24410.395669552607
2015-02-13,24682.54,24535.66,24702.54,24521.13,1340000000.0,1.07,24321.37605084225,24542.682922036627,24600.896700865786
2015-02-16,24726.53,24717.49,24771.6,24687.15,955270000.0,0.18,24341.63374830014,24597.83704542564,24688.84001025973
2015-02-17,24784.88,24653.88,24855.75,24653.88,822900000.0,0.24,24363.79606088513,24653.949931797943,24756.06800307792
2015-02-18,24832.08,24836.05,24871.79,24806.06,975870000.0,0.19,24387.210257840878,24707.38895225856,24809.27640092337
2015-02-23,24836.76,24916.24,24916.24,24664.68,1050000000.0,0.02,24409.687744948842,24746.200266580992,24828.514920277008
2015-02-24,24750.07,24776.72,24808.3,24673.93,1110000000.0,-0.35,24426.7068577014,24747.361186606693,24773.603476083106
2015-02-25,24778.28,24822.28,24869.37,24691.78,1430000000.0,0.11,24444.285514816318,24756.636830624684,24776.87704282493
2015-02-26,24902.06,24718.28,24998.64,24709.56,1860000000.0,0.5,24467.174239075503,24800.26378143728,24864.50511284748
2015-02-27,24823.29,24902.61,25101.96,24815.03,1550000000.0,-0.32,24484.98002712173,24807.171647006093,24835.65453385424
2015-03-02,24887.44,24996.76,24997.83,24715.38,1590000000.0,0.26,24505.10302576565,24831.252152904268,24871.90436015627
2015-03-03,24702.78,24984.62,24984.62,24663.43,1550000000.0,-0.74,24514.986874477363,24792.71050703298,24753.51730804688
2015-03-04,24465.38,24656.94,24705.96,24439.29,1620000000.0,-0.96,24512.50653075349,24694.511354923085,24551.821192414063
2015-03-05,24193.04,24274.9,24393.85,24133.71,1920000000.0,-1.11,24496.53320421582,24544.069948446162,24300.67435772422
2015-03-06,24164.0,24235.76,24294.36,24126.09,1620000000.0,-0.12,24479.90654400503,24430.048963912308,24205.002307317267
2015-03-09,24123.05,23982.5,24205.86,23910.16,1620000000.0,-0.17,24462.063716804776,24337.949274738618,24147.635692195177
2015-03-10,23896.98,24150.68,24152.4,23869.82,1520000000.0,-0.94,24433.80953096454,24205.65849231704,23972.176707658553
2015-03-11,23717.97,23807.1,23899.86,23703.84,1680000000.0,-0.75,24398.017554416318,24059.351944621918,23794.232012297565
2015-03-12,23797.96,23709.17,23880.25,23677.06,1670000000.0,0.34,24368.014676695497,23980.934361235348,23796.841603689267
2015-03-13,23823.21,23808.97,23918.71,23790.83,1590000000.0,0.11,24340.77444286072,23933.61705286474,23815.299481106784
2015-03-16,23949.55,23771.4,23970.05,23711.27,1220000000.0,0.53,24321.21322071769,23938.396937005324,23909.27484433203
2015-03-17,23901.49,24106.47,24106.47,23822.78,1230000000.0,-0.2,24300.2270596818,23927.324855903724,23903.82545329961
2015-03-18,24120.08,23938.63,24210.75,23938.63,1720000000.0,0.91,24291.219706697713,23985.151399132606,24055.20363598988
2015-03-19,24468.89,24325.56,24500.23,24248.84,1880000000.0,1.45,24300.103221362828,24130.272979392827,24344.78409079696
