Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,10350.8,10386.7,10440.3,10232.3,220240000.0,0.69,10350.8,10350.8,10350.8
2015-01-05,9993.3,10267.2,10390.8,9977.8,299610000.0,-3.45,10332.925,10243.55,10100.55
2015-01-06,9871.1,10040.7,10060.8,9871.1,282860000.0,-1.22,10309.83375,10131.815,9939.935
2015-01-07,9891.4,9937.3,10051.2,9836.4,290120000.0,0.21,10288.9120625,10059.6905,9905.9605
2015-01-08,10115.0,10053.2,10143.0,9970.3,320450000.0,2.26,10280.216459375,10076.28335,10052.28815
2015-01-09,9719.0,10080.0,10080.0,9610.1,789490000.0,-3.91,10252.155636406247,9969.098345,9818.986445
2015-01-12,9797.5,9805.5,9882.1,9682.1,454280000.0,0.81,10229.422854585937,9917.618841500003,9803.9459335
2015-01-13,9966.0,9762.4,9996.1,9757.3,407220000.0,1.72,10216.251711856641,9932.13318905,9917.38378005
2015-01-14,9846.0,9801.7,10013.8,9778.9,474510000.0,-1.2,10197.73912626381,9906.293232335,9867.415134015
2015-01-15,9982.5,9953.1,10008.9,9646.4,408080000.0,1.39,10186.97716995062,9929.155262634502,9947.9745402045
2015-01-16,10038.9,9948.6,10060.2,9882.1,367660000.0,0.56,10179.573311453089,9962.07868384415,10011.622362061353
2015-01-19,10157.5,10091.3,10193.8,10036.7,253510000.0,1.18,10178.469645880434,10020.705078690906,10113.736708618404
2015-01-20,10283.9,10194.9,10332.3,10186.7,446600000.0,1.24,10183.741163586412,10099.663555083634,10232.85101258552
2015-01-21,10335.3,10325.0,10340.3,10147.0,367570000.0,0.5,10191.319105407092,10170.354488558543,10304.565303775655
2015-01-22,10510.6,10382.2,10560.9,10339.6,508500000.0,1.7,10207.283150136738,10272.42814199098,10448.789591132696
2015-01-23,10581.5,10604.9,10693.0,10532.4,493570000.0,0.67,10225.9939926299,10365.149699393683,10541.68687733981
2015-01-26,10696.1,10502.6,10716.9,10451.0,309100000.0,1.08,10249.499292998406,10464.43478957558,10649.776063201942
2015-01-27,10598.9,10669.5,10707.1,10528.1,322880000.0,-0.91,10266.969328348483,10504.774352702903,10614.162818960582
2015-01-28,10456.9,10676.6,10687.0,10395.6,366620000.0,-1.34,10276.46586193106,10490.412046892034,10504.078845688173
2015-01-29,10507.6,10391.2,10513.1,10320.8,336720000.0,0.48,10288.022568834507,10495.568432824424,10506.54365370645
2015-01-30,10403.3,10562.6,10581.6,10336.1,418610000.0,-0.99,10293.786440392785,10467.887902977096,10434.273096111934
2015-02-02,10328.1,10396.6,10401.0,10136.4,443720000.0,-0.72,10295.502118373144,10425.95153208397,10359.95192883358
2015-02-03,10598.2,10426.8,10634.2,10414.6,446420000.0,2.62,10310.637012454486,10477.626072458776,10526.725578650074
2015-02-04,10577.8,10620.9,10688.0,10497.4,386830000.0,-0.19,10323.995161831765,10507.678250721145,10562.477673595022
2015-02-05,10535.5,10451.7,10535.5,10388.9,301150000.0,-0.4,10334.570403740174,10516.0247755048,10543.593302078503
2015-02-06,10573.1,10547.1,10606.8,10497.5,278010000.0,0.36,10346.496883553164,10533.14734285336,10564.247990623553
2015-02-09,10364.9,10467.8,10473.3,10289.7,290050000.0,-1.97,10347.417039375508,10482.673139997352,10424.704397187064
