Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,5242.77,5233.8,5247.94,5230.75,3810000000.0,0.3,5242.77,5242.77,5242.77
2015-01-05,5219.99,5229.68,5233.66,5206.28,4480000000.0,-0.43,5241.6309999999985,5235.936,5226.824000000001
2015-01-06,5169.06,5186.2,5194.8,5169.06,5150000000.0,-0.98,5238.002450000001,5215.8732,5186.3892
2015-01-07,5207.12,5175.55,5207.38,5174.8,7210000000.0,0.74,5236.4583275,5213.24724,5200.90076
2015-01-08,5211.83,5218.4,5230.18,5208.99,6920000000.0,0.09,5235.226911125002,5212.822068,5208.551227999998
2015-01-09,5216.66,5226.89,5240.24,5212.28,7390000000.0,0.09,5234.298565568752,5213.9734475999985,5214.227368399998
2015-01-12,5187.93,5202.75,5220.25,5183.21,4770000000.0,-0.55,5231.980137290313,5206.16041332,5195.81921052
2015-01-13,5214.36,5199.94,5217.22,5197.09,7290000000.0,0.51,5231.099130425797,5208.620289324001,5208.797763156
2015-01-14,5159.67,5217.2,5225.02,5159.67,6400000000.0,-1.05,5227.527673904507,5193.9352025268,5174.4083289468
2015-01-15,5188.71,5180.43,5193.95,5168.01,5420000000.0,0.56,5225.586790209281,5192.36764176876,5184.419498684038
2015-01-16,5148.38,5182.01,5204.49,5148.38,4620000000.0,-0.78,5221.726450698817,5179.171349238131,5159.191849605211
2015-01-19,5152.09,5152.16,5171.68,5132.71,4480000000.0,0.07,5218.244628163876,5171.0469444666915,5154.220554881563
2015-01-20,5166.09,5154.37,5166.09,5121.81,4720000000.0,0.27,5215.636896755682,5169.559861126685,5162.529166464467
2015-01-21,5215.27,5176.35,5215.27,5164.3,3970000000.0,0.95,5215.618551917897,5183.27290278868,5199.447749939341
2015-01-22,5253.18,5215.64,5267.57,5215.03,6030000000.0,0.73,5217.496624322002,5204.245031952076,5237.060324981801
2015-01-23,5323.89,5281.18,5325.04,5281.18,6180000000.0,1.35,5222.816293105902,5240.138522366453,5297.841097494541
2015-01-26,5260.02,5302.64,5309.52,5208.42,4770000000.0,-1.2,5224.676478450608,5246.102965656517,5271.366329248362
2015-01-27,5277.15,5254.46,5277.15,5243.75,4030000000.000001,0.33,5227.300154528076,5255.417075959562,5275.414898774508
2015-01-28,5268.85,5272.22,5279.91,5263.55,4520000000.0,-0.16,5229.377646801672,5259.446953171693,5270.819469632353
2015-01-29,5262.72,5263.53,5266.99,5253.45,3940000000.0,-0.12,5231.044764461589,5260.4288672201865,5265.149840889706
2015-01-30,5289.4,5290.39,5298.46,5281.58,3950000000.0,0.51,5233.96252623851,5269.120207054129,5282.124952266911
2015-02-02,5276.24,5277.15,5291.41,5257.21,3370000000.0,-0.25,5236.076399926584,5271.25614493789,5278.005485680073
2015-02-03,5291.72,5287.62,5310.11,5282.06,4530000000.0,0.29,5238.8585799302555,5277.395301456523,5287.605645704021
2015-02-04,5315.28,5315.45,5348.84,5298.12,5360000000.0,0.45,5242.679650933742,5288.760711019566,5306.977693711207
2015-02-05,5279.9,5309.13,5314.29,5254.04,4040000000.0,-0.67,5244.540668387054,5286.102497713697,5288.023308113361
2015-02-06,5342.52,5297.35,5342.52,5296.6,4730000000.0,1.19,5249.439634967702,5303.027748399587,5326.170992434008
2015-02-09,5348.47,5341.76,5375.09,5333.23,4170000000.0,0.11,5254.391153219316,5316.660423879712,5341.7802977302035
2015-02-10,5321.47,5353.81,5362.57,5310.08,4360000000.0,-0.5,5257.745095558351,5318.103296715797,5327.563089319061
2015-02-11,5336.52,5336.66,5345.08,5327.89,4700000000.0,0.28,5261.683840780434,5323.628307701058,5333.832926795718
2015-02-12,5343.41,5342.06,5346.14,5320.24,4270000000.0,0.13,5265.7701487414115,5329.562815390741,5340.536878038715
2015-02-13,5374.16,5363.98,5380.84,5352.95,3680000000.0,0.58,5271.1896413043405,5342.941970773521,5364.0730634116135
2015-02-16,5325.49,5377.97,5384.02,5320.4,3530000000.0,-0.91,5273.904659239124,5337.706379541463,5337.0649190234835
2015-02-17,5337.5,5325.68,5342.93,5319.47,3470000000.0,0.23,5277.084426277168,5337.644465679025,5337.369475707044
2015-02-18,5390.45,5372.75,5415.38,5372.75,5170000000.0,0.99,5282.752704963309,5353.486125975317,5374.525842712113
2015-02-20,5400.1,5399.43,5427.31,5398.35,4210000000.0,0.18,5288.620069715144,5367.4702881827225,5392.4277528136345
2015-02-23,5403.28,5409.94,5418.59,5387.38,3950000000.0,0.06,5294.353066229387,5378.2132017279055,5400.02432584409
2015-02-24,5417.31,5399.66,5422.44,5397.78,4180000000.0,0.26,5300.500912917917,5389.942241209535,5412.124297753226
2015-02-25,5445.11,5426.23,5448.69,5425.9,4950000000.0,0.51,5307.731367272021,5406.492568846674,5435.214289325968
2015-02-26,5451.42,5429.48,5459.07,5429.48,4250000000.0,0.12,5314.915798908421,5419.970798192671,5446.55828679779
2015-02-27,5450.29,5455.23,5464.22,5441.14,4440000000.0,-0.02,5321.684508963,5429.0665587348685,5449.170486039337
2015-03-02,5477.83,5452.83,5477.83,5451.57,4280000000.000001,0.51,5329.491783514849,5443.6955911144105,5469.2321458118
2015-03-03,5474.62,5479.62,5499.77,5472.57,4320000000.0,-0.06,5336.748194339107,5452.972913780086,5473.003643743539
2015-03-04,5448.06,5477.82,5484.86,5435.44,3970000000.0,-0.49,5342.3137846221525,5451.49903964606,5455.543093123061
2015-03-05,5450.95,5457.9,5476.63,5450.95,4140000000.0,0.05,5347.745595391044,5451.334327752242,5452.327927936918
2015-03-06,5514.79,5467.15,5514.79,5460.89,4380000000.0,1.17,5356.0978156214915,5470.371029426569,5496.051378381075
2015-03-09,5444.63,5483.86,5485.0,5424.95,4200000000.0,-1.27,5360.524424840417,5462.6487205985995,5460.056413514322
2015-03-10,5462.93,5437.13,5471.28,5407.57,4820000000.0,0.34,5365.644703598396,5462.733104419021,5462.067924054297
