Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,1926.44,1914.24,1929.15,1909.67,258780.0,0.57,1926.44,1926.44,1926.44
2015-01-05,1915.75,1921.96,1921.96,1903.37,313440.0,-0.55,1925.9055,1923.233,1918.957
2015-01-06,1882.45,1895.48,1900.02,1877.38,303690.0,-1.74,1923.732725,1910.9981,1893.4021
2015-01-07,1883.83,1878.9,1887.6,1876.27,280510.0,0.07,1921.73758875,1902.84767,1886.70163
2015-01-08,1904.65,1895.85,1907.23,1891.77,262210.0,1.11,1920.8832093125,1903.3883690000002,1899.265489
2015-01-09,1924.7,1919.8,1929.1,1915.85,308780.0,1.05,1921.074048846876,1909.7818583,1917.0696467
2015-01-12,1920.95,1918.18,1924.66,1917.88,311920.0,-0.19,1921.0678464045318,1913.13230081,1919.78589401
2015-01-13,1917.14,1915.03,1920.77,1910.27,338990.0,-0.2,1920.8714540843048,1914.3346105670005,1917.9337682029998
2015-01-14,1913.66,1919.31,1925.68,1913.51,297520.0,-0.18,1920.510881380089,1914.1322273969006,1914.9421304609
2015-01-15,1914.14,1914.06,1919.69,1908.6,266540.0,0.03,1920.1923373110849,1914.1345591778304,1914.38063913827
2015-01-16,1888.13,1907.07,1907.07,1885.62,298730.0,-1.36,1918.5892204455304,1906.333191424481,1896.005191741481
2015-01-19,1902.62,1902.81,1912.42,1900.26,281120.0,0.77,1917.790759423254,1905.2192339971368,1900.6355575224438
2015-01-20,1918.31,1908.62,1918.85,1907.97,280890.0,0.82,1917.8167214520913,1909.146463797996,1913.0076672567327
2015-01-21,1921.23,1917.33,1921.88,1909.86,300840.0,0.15,1917.9873853794868,1912.7715246585967,1918.76330017702
2015-01-22,1920.82,1926.01,1932.5,1916.56,343130.0,-0.02,1918.1290161105128,1915.1860672610171,1920.2029900531052
2015-01-23,1936.09,1945.36,1945.36,1930.65,367700.0,0.79,1919.027065304987,1921.4572470827125,1931.323897015932
2015-01-26,1935.68,1928.26,1936.4,1924.14,330610.0,-0.02,1919.8597120397376,1925.724072957899,1934.3731691047794
2015-01-27,1952.4,1941.9,1952.41,1940.72,466960.0,0.86,1921.4867264377508,1933.726851070529,1946.991950731434
