Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-01,32503.8,32148.65,32503.81,32134.82,157340.0,1.16,32503.8,32503.8,32503.8
2015-01-02,32731.61,32531.8,32776.39,32465.49,235200.0,0.7,32515.1905,32572.143000000004,32663.267000000003
2015-01-05,32757.79,32751.46,32866.4,32664.15,248960.0,0.08,32527.320475,32627.837100000004,32729.433099999995
2015-01-06,32668.73,32713.51,32834.43,32558.7,173640.0,-0.27,32534.39095125,32640.10497,32686.94093
2015-01-07,32835.94,32685.41,32906.17,32639.84,175310.0,0.51,32549.468403687497,32698.855479,32791.240279000005
2015-01-08,33117.47,32887.82,33142.93,32887.82,188420.0,0.86,32577.868483503124,32824.4398353,33019.6010837
2015-01-09,33324.82,33163.45,33473.55,33163.45,230180.0,0.63,32615.21605932797,32974.55388471,33233.25432511
2015-01-12,33418.2,33341.54,33513.92,33339.28,150020.0,0.28,32655.36525636157,33107.647719297005,33362.716297533
2015-01-13,33371.29,33423.82,33423.82,33167.95,138600.0,-0.14,32691.161493543485,33186.74040350791,33368.717889259904
2015-01-14,33585.75,33403.95,33628.22,33403.95,217290.0,0.64,32735.89091886632,33306.44328245554,33520.64036677797
2015-01-15,33765.61,33688.29,33941.51,33688.29,220160.0,0.54,32787.376872923,33444.193297718884,33692.11911003339
2015-01-16,33786.44,33771.5,33954.88,33724.65,215170.0,0.06,32837.33002927685,33546.86730840321,33758.143733010016
2015-01-19,34014.26,33790.56,34120.92,33790.56,174970.0,0.67,32896.176527813004,33687.08511588225,33937.425119903004
2015-01-20,34121.3,34046.63,34185.48,33893.17,194950.0,0.31,32957.432701422345,33817.349581117574,34066.1375359709
2015-01-21,34329.5,34133.62,34395.19,34133.62,241030.0,0.61,33026.03606635123,33970.9947067823,34250.49126079127
2015-01-22,34146.97,34342.29,34414.81,34101.44,212300.0,-0.53,33082.082763033664,34023.78729474761,34178.02637823738
2015-01-23,34026.59,34149.1,34194.93,33978.3,138100.0,-0.35,33129.30812488199,34024.628106323325,34072.02091347121
2015-01-26,34466.53,34058.45,34589.28,34058.45,249090.0,1.29,33196.169218637886,34157.198674426334,34348.177274041365
2015-01-27,34538.45,34530.36,34626.87,34383.74,255710.0,0.21,33263.28325770599,34271.57407209843,34481.368182212405
2015-01-28,34386.86,34535.31,34621.54,34353.78,162990.0,-0.44,33319.462094820694,34306.1598504689,34415.21245466372
2015-01-29,34408.73,34398.41,34502.19,34368.25,147270.0,0.06,33373.925490079666,34336.93089532823,34410.67473639912
2015-01-30,34443.87,34446.56,34620.53,34348.47,274970.0,0.1,33427.422715575674,34369.01262672976,34433.911420919736
2015-02-02,34676.31,34476.0,34733.27,34476.0,234970.0,0.67,33489.86707979689,34461.201838710826,34603.59042627592
2015-02-03,34826.51,34709.75,34844.8,34633.88,201110.0,0.43,33556.699225807046,34570.79428709758,34759.634127882775
2015-02-04,34672.25,34940.58,35055.94,34595.3,230120.0,-0.44,33612.476764516694,34601.231000968306,34698.46523836483
2015-02-06,34656.94,34718.11,34844.2,34619.57,165610.0,-0.04,33664.699926290865,34617.94370067782,34669.39757150945
2015-02-09,34570.3,34697.71,34787.29,34556.08,182410.0,-0.25,33709.97992997631,34603.65059047447,34600.02927145283
2015-02-10,34432.89,34621.3,34731.94,34181.02,151280.0,-0.4,33746.12543347749,34552.422413332126,34483.03178143585
2015-02-11,34203.99,34435.51,34564.56,34160.47,160030.0,-0.66,33769.01866180362,34447.89268933248,34287.702534430755
2015-02-12,33786.42,34191.23,34237.14,33493.52,212570.0,-1.22,33769.888728713435,34249.450882532736,33936.80476032922
2015-02-13,33943.2,33825.45,34123.78,33784.58,159540.0,0.46,33778.55429227776,34157.57561777291,33941.281428098766
2015-02-16,33796.44,33943.2,34031.8,33633.32,102810.0,-0.43,33779.44857766388,34049.23493244103,33839.89242842963
2015-02-17,33801.1,33827.23,34036.31,33721.84,146900.0,0.01,33780.53114878068,33974.794452708724,33812.73772852888
2015-02-18,33718.86,33815.9,33912.83,33589.41,114620.0,-0.24,33777.44759134165,33898.014116896105,33747.02331855866
2015-02-19,33942.27,33749.34,33988.16,33641.99,137170.0,0.66,33785.688711774565,33911.29088182727,33883.695995567585
2015-02-20,33993.0,34028.78,34143.75,33912.96,161980.0,0.15,33796.05427618584,33935.80361727909,33960.208798670275
2015-02-23,33926.7,34020.1,34063.24,33899.26,93590.0,-0.2,33802.586562376535,33933.072532095364,33936.75263960108
2015-02-24,33895.46,33927.61,34024.05,33870.01,96960.0,-0.09,33807.23023425772,33921.788772466745,33907.84779188032
