Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,1435.66,1394.66,1438.86,1390.62,0.0,2.8,1435.66,1435.66,1435.66
2015-01-06,1480.73,1435.39,1481.3,1430.69,0.0,3.14,1437.9135,1449.181,1467.2089999999996
2015-01-08,1547.39,1482.12,1564.76,1482.12,0.0,4.5,1443.387325,1478.6437,1523.3357
2015-01-09,1515.37,1547.61,1557.83,1496.18,0.0,-2.07,1446.98645875,1489.6615900000006,1517.7597099999994
2015-01-12,1513.22,1515.23,1534.49,1503.6,0.0,-0.14,1450.2981358125,1496.729113,1514.5819129999998
2015-01-13,1533.09,1513.21,1543.58,1499.57,0.0,1.31,1454.4377290218756,1507.6373791,1527.5375738999994
2015-01-14,1554.46,1531.65,1559.99,1524.82,0.0,1.39,1459.4388425707816,1521.6841653700005,1546.3832721699994
2015-01-15,1563.21,1556.96,1586.11,1555.36,0.0,0.56,1464.6274004422423,1534.1419157590005,1558.1619816509995
2015-01-16,1591.43,1563.21,1594.06,1553.74,0.0,1.81,1470.9675304201305,1551.3283410313004,1581.4495944952994
2015-01-19,1576.4,1590.54,1627.28,1573.09,0.0,-0.94,1476.2391538991242,1558.8498387219101,1577.9148783485898
2015-01-20,1570.97,1576.47,1594.86,1561.83,0.0,-0.34,1480.9756962041681,1562.4858871053366,1573.0534635045767
2015-01-21,1618.17,1570.59,1619.02,1570.59,0.0,3.0,1487.8354113939592,1579.191120973736,1604.635039051373
2015-01-22,1666.56,1618.68,1676.37,1618.54,0.0,2.99,1496.7716408242609,1605.401784681615,1647.9825117154119
2015-01-23,1671.8,1667.99,1700.77,1662.12,0.0,0.31,1505.5230587830483,1625.3212492771304,1664.6547535146235
2015-01-26,1642.37,1670.23,1670.3,1622.14,0.0,-1.76,1512.3654058438958,1630.4358744939914,1649.055426054387
2015-01-27,1673.92,1642.31,1681.44,1614.92,0.0,1.92,1520.443135551701,1643.481112145794,1666.460627816316
2015-01-28,1647.71,1675.3,1706.29,1643.42,0.0,-1.57,1526.806478774116,1644.7497785020553,1653.3351883448947
2015-01-29,1639.65,1647.11,1675.5,1639.65,0.0,-0.49,1532.4486548354105,1643.219844951439,1643.755556503468
2015-01-30,1647.69,1640.56,1664.73,1631.67,0.0,0.49,1538.2107220936398,1644.5608914660074,1646.5096669510406
2015-02-02,1625.31,1647.74,1655.51,1616.32,0.0,-1.36,1542.5656859889575,1638.7856240262051,1631.6699000853118
2015-02-03,1654.36,1626.65,1667.51,1626.65,0.0,1.79,1548.1554016895095,1643.4579368183436,1647.5529700255936
2015-02-04,1656.02,1655.5,1664.56,1643.24,0.0,0.1,1553.5486316050344,1647.2265557728406,1653.479891007678
2015-02-05,1696.06,1654.97,1698.76,1642.52,0.0,2.42,1560.6742000247827,1661.8765890409882,1683.2859673023029
2015-02-06,1755.45,1696.96,1762.39,1696.96,0.0,3.5,1570.4129900235434,1689.948612328691,1733.8007901906906
2015-02-09,1748.55,1755.7,1829.66,1740.58,0.0,-0.39,1579.3198405223666,1707.529028630084,1744.1252370572076
2015-02-10,1742.35,1748.02,1774.06,1729.84,0.0,-0.35,1587.4713484962479,1717.9753200410587,1742.882571117162
2015-02-11,1763.6,1744.86,1787.76,1744.86,0.0,1.22,1596.2777810714356,1731.6627240287412,1757.3847713351486
2015-02-12,1802.8,1764.24,1816.6,1748.02,0.0,2.22,1606.6038920178644,1753.0039068201183,1789.1754314005445
2015-02-13,1838.18,1802.88,1839.71,1802.88,0.0,1.96,1618.1826974169708,1778.556734774083,1823.4786294201626
2015-02-16,1800.59,1838.21,1848.13,1785.67,0.0,-2.04,1627.3030625461222,1785.1667143418579,1807.4565888260488
2015-02-17,1793.82,1800.92,1842.49,1781.82,0.0,-0.38,1635.628909418816,1787.7627000393009,1797.9109766478146
2015-02-18,1809.67,1795.83,1833.05,1795.83,0.0,0.88,1644.330963947875,1794.3348900275105,1806.142292994344
2015-02-19,1797.87,1809.67,1819.83,1757.4,0.0,-0.65,1652.0079157504813,1795.3954230192576,1800.351687898303
2015-02-20,1792.7,1797.88,1808.93,1780.03,0.0,-0.29,1659.0425199629572,1794.5867961134802,1794.9955063694904
2015-02-24,1772.16,1786.49,1786.49,1755.03,0.0,-1.15,1664.6983939648096,1787.858757279436,1779.0106519108472
2015-02-25,1746.23,1772.4,1773.73,1727.7,0.0,-1.46,1668.774974266569,1775.3701300956054,1756.064195573254
2015-02-26,1760.66,1746.79,1769.48,1735.39,0.0,0.83,1673.3692255532403,1770.9570910669238,1759.281258671976
2015-02-27,1758.97,1760.67,1769.21,1741.08,0.0,-0.1,1677.6492642755786,1767.3609637468467,1759.063377601593
2015-03-02,1783.34,1759.25,1789.54,1759.25,0.0,1.39,1682.9338010617996,1772.1546746227928,1776.0570132804776
2015-03-03,1807.7,1783.44,1825.74,1769.63,0.0,1.37,1689.1721110087094,1782.818272235955,1798.207103984143
2015-03-04,1759.35,1807.71,1816.21,1756.36,0.0,-2.67,1692.6810054582736,1775.7777905651685,1771.007131195243
2015-03-05,1760.55,1760.67,1791.97,1746.09,0.0,0.07,1696.0744551853604,1771.209453395618,1763.687139358573
2015-03-06,1728.55,1761.29,1766.8,1723.22,0.0,-1.82,1697.6982324260925,1758.4116173769323,1739.0911418075714
2015-03-10,1665.38,1726.86,1726.86,1663.89,0.0,-3.65,1696.0823208047875,1730.5021321638528,1687.4933425422714
2015-03-11,1671.47,1665.41,1692.31,1655.61,0.0,0.37,1694.8517047645482,1712.792492514697,1676.2770027626816
2015-03-12,1664.7,1671.71,1680.78,1656.37,0.0,-0.41,1693.3441195263208,1698.364744760288,1668.1731008288045
