Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,17408.71,17325.68,17540.92,17219.22,116460.0,-0.24,17408.71,17408.71,17408.71
2015-01-06,16883.19,17101.58,17111.36,16881.73,166020.0,-3.02,17382.433999999994,17251.053999999996,17040.845999999998
2015-01-07,16885.33,16808.26,16974.61,16808.26,138570.0,0.01,17357.578800000007,17141.336799999994,16931.9848
2015-01-08,17167.1,17067.4,17243.71,17016.09,140610.0,1.67,17348.05486,17149.065759999998,17096.565440000002
2015-01-09,17197.73,17318.74,17342.65,17129.53,155220.0,0.18,17340.538617,17163.665031999994,17167.380631999997
2015-01-13,17087.71,16970.88,17087.71,16828.27,149180.0,-0.64,17327.89718615,17140.878522399995,17111.611189599997
2015-01-14,16795.96,16961.82,17036.72,16770.56,148510.0,-1.71,17301.3003268425,17037.402965679998,16890.655356879994
2015-01-15,17108.7,16872.95,17141.98,16856.22,147710.0,1.86,17291.670310500376,17058.792075975998,17043.286607063998
2015-01-16,16864.16,16812.96,16864.34,16592.57,171100.0,-1.43,17270.294794975358,17000.4024531832,16917.897982119197
2015-01-19,17014.29,17000.78,17039.8,16911.58,127980.0,0.89,17257.494555226593,17004.56871722824,16985.37239463576
2015-01-20,17366.3,17071.65,17366.3,17066.77,133030.0,2.07,17262.934827465266,17113.08810205977,17252.021718390726
2015-01-21,17280.48,17308.72,17329.03,17181.55,135980.0,-0.49,17263.812086092006,17163.305671441838,17271.942515517218
2015-01-22,17329.02,17306.64,17355.74,17229.21,121910.0,0.28,17267.072481787403,17213.019970009285,17311.896754655165
2015-01-23,17511.75,17520.63,17532.06,17460.76,132530.0,1.05,17279.30635769804,17302.6389790065,17451.794026396547
2015-01-26,17468.52,17285.71,17471.94,17285.71,111600.0,-0.25,17288.767039813134,17352.40328530455,17463.502207918966
2015-01-27,17768.3,17649.4,17768.41,17633.47,139690.0,1.72,17312.743687822473,17477.172299713184,17676.86066237569
2015-01-28,17795.73,17615.93,17850.59,17615.93,141950.0,0.15,17336.89300343135,17572.73960979923,17760.069198712707
