Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,4726.81,4760.24,4777.01,4698.11,367740000.0,-0.2,4726.81,4726.81,4726.81
2015-01-05,4652.57,4700.34,4702.77,4641.46,476450000.0,-1.57,4723.098,4704.538000000001,4674.8420000000015
2015-01-06,4592.74,4666.85,4667.33,4567.6,553620000.0,-1.29,4716.5801,4670.998600000001,4617.370599999998
2015-01-07,4650.47,4626.84,4652.72,4613.9,482510000.0,1.26,4713.274595,4664.8400200000015,4640.54018
2015-01-08,4736.19,4689.54,4741.38,4688.02,548100000.0,1.84,4714.42036525,4686.245014,4707.495053999999
2015-01-09,4704.07,4744.47,4744.71,4681.24,430670000.0,-0.68,4713.9028469875,4691.592509800002,4705.0975162
2015-01-12,4664.71,4714.07,4715.81,4650.65,491280000.0,-0.84,4711.4432046381235,4683.52775686,4676.82625486
2015-01-13,4661.5,4708.74,4751.34,4624.28,566520000.0,-0.07,4708.946044406218,4676.919429801999,4666.0978764579995
2015-01-14,4639.32,4610.76,4655.37,4595.98,527380000.0,-0.48,4705.464742185907,4665.639600861399,4647.3533629374
2015-01-15,4570.82,4657.46,4663.96,4567.39,525690000.00000006,-1.48,4698.732505076612,4637.19372060298,4593.780008881219
2015-01-16,4634.38,4566.38,4635.82,4563.11,548600000.0,1.39,4695.514879822781,4636.3496044220865,4622.2000026643655
2015-01-20,4654.85,4655.84,4665.65,4601.1,473620000.0,0.44,4693.481635831642,4641.899723095461,4645.055000799311
2015-01-21,4667.42,4641.95,4692.46,4629.59,463220000.0,0.27,4692.178554040061,4649.5558061668235,4660.710500239793
2015-01-22,4750.4,4690.93,4752.6,4644.57,515530000.0,1.78,4695.089626338057,4679.809064316776,4723.493150071938
2015-01-23,4757.88,4748.19,4771.18,4737.95,414940000.0,0.16,4698.229145021154,4703.230345021743,4747.5639450215795
2015-01-26,4771.76,4752.36,4774.18,4734.2,460890000.0,0.29,4701.905687770097,4723.78924151522,4764.501183506474
2015-01-27,4681.5,4698.23,4721.88,4659.83,469340000.0,-1.89,4700.8854033815915,4711.102469060655,4706.400355051942
2015-01-28,4637.99,4740.69,4742.06,4637.48,534450000.00000006,-0.93,4697.740633212512,4689.168728342457,4658.513106515582
2015-01-29,4683.41,4635.73,4688.41,4601.76,529670000.0,0.98,4697.024101551886,4687.4411098397195,4675.940931954674
2015-01-30,4635.24,4671.2,4703.81,4631.1,638810000.0,-1.03,4693.934896474292,4671.780776887804,4647.450279586402
2015-02-02,4676.69,4650.6,4676.69,4580.46,525390000.0,0.89,4693.0726516505765,4673.253543821463,4667.91808387592
2015-02-03,4727.74,4693.25,4727.74,4670.82,553800000.0,1.09,4694.806019068049,4689.599480675024,4709.793425162776
2015-02-04,4716.7,4699.81,4744.33,4697.79,549870000.0,-0.23,4695.900718114646,4697.729636472517,4714.628027548833
2015-02-05,4765.1,4729.65,4767.38,4722.8,501770000.0,1.03,4699.360682208914,4717.940745530762,4749.958408264651
2015-02-06,4744.4,4768.85,4787.19,4731.22,494100000.0,-0.43,4701.612648098469,4725.878521871533,4746.067522479394
2015-02-09,4726.01,4723.73,4749.47,4719.61,411220000.0,-0.39,4702.832515693545,4725.917965310074,4732.027256743818
2015-02-10,4787.65,4754.62,4793.27,4737.12,441960000.0,1.3,4707.073389908868,4744.437575717051,4770.9631770231435
2015-02-11,4801.18,4788.37,4810.36,4780.13,433800000.0,0.28,4711.778720413426,4761.460303001935,4792.114953106943
2015-02-12,4857.61,4828.08,4857.61,4823.57,480020000.0,1.18,4719.070284392754,4790.305212101353,4837.961485932083
2015-02-13,4893.84,4869.73,4893.84,4860.12,455860000.0,0.75,4727.808770173116,4821.365648470948,4877.076445779625
2015-02-17,4899.27,4889.98,4901.89,4880.64,450150000.0,0.11,4736.381831664459,4844.736953929663,4892.611933733888
2015-02-18,4906.36,4890.84,4907.5,4885.6,410200000.0,0.14,4744.8807400812375,4863.223867750764,4902.2355801201675
2015-02-19,4924.7,4901.51,4929.53,4900.63,380210000.0,0.37,4753.871703077175,4881.666707425536,4917.96067403605
