Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2016-12-20,1002.3,999.76,1005.79,999.19,0.0,0.26,1002.3,1002.3,1002.3
2016-12-21,1002.97,1002.32,1005.44,1000.18,0.0,0.07,1002.3335,1002.501,1002.769
2016-12-22,1005.73,1002.89,1007.46,1000.51,0.0,0.28,1002.503325,1003.4697,1004.8417
2016-12-23,1007.37,1005.67,1009.6,1003.78,0.0,0.16,1002.74665875,1004.63979,1006.61151
2016-12-27,1011.75,1007.61,1011.75,1007.6,0.0,0.43,1003.1968258125003,1006.7728529999999,1010.208453
2016-12-28,1012.81,1011.34,1012.81,1009.02,0.0,0.1,1003.6774845218753,1008.5839971,1012.0295358999999
2016-12-29,1016.69,1012.31,1016.82,1007.01,0.0,0.38,1004.3281102957814,1011.01579797,1015.29186077
2016-12-30,1015.88,1016.78,1017.09,1013.65,0.0,-0.08,1004.9057047809924,1012.4750585789999,1015.7035582310001
2017-01-02,1034.03,1015.74,1035.39,1014.99,0.0,1.79,1006.3619195419427,1018.9415410053,1028.5320674692998
2017-01-03,1030.89,1034.61,1041.93,1030.88,0.0,-0.3,1007.5883235648456,1022.52607870371,1030.18262024079
2017-01-04,1025.78,1030.78,1033.01,1025.42,0.0,-0.5,1008.4979073866034,1023.502255092597,1027.1007860722368
2017-01-05,1034.99,1025.84,1036.18,1025.59,0.0,0.9,1009.8225120172732,1026.948578564818,1032.623235821671
2017-01-06,1037.59,1035.18,1040.3,1033.97,0.0,0.25,1011.2108864164096,1030.1410049953727,1036.0999707465014
2017-01-09,1031.5,1037.59,1042.46,1030.29,0.0,-0.59,1012.225342095589,1030.548703496761,1032.8799912239504
2017-01-10,1026.3,1031.75,1034.11,1025.94,0.0,-0.5,1012.9290749908097,1029.2740924477328,1028.273997367185
2017-01-11,1034.27,1027.33,1034.34,1025.47,0.0,0.78,1013.9961212412692,1030.772864713413,1032.4711992101554
2017-01-12,1024.95,1033.48,1033.48,1020.25,0.0,-0.9,1014.5438151792056,1029.026005299389,1027.2063597630467
2017-01-13,1039.68,1025.05,1039.68,1025.05,0.0,1.44,1015.8006244202452,1032.2222037095723,1035.937907928914
2017-01-16,1038.29,1039.53,1042.79,1037.94,0.0,-0.13,1016.9250931992333,1034.0425425967005,1037.584372378674
2017-01-17,1033.55,1038.06,1038.06,1031.04,0.0,-0.46,1017.7563385392714,1033.8947798176905,1034.760311713602
2017-01-18,1030.35,1033.6,1037.08,1027.04,0.0,-0.31,1018.3860216123078,1032.8313458723833,1031.6730935140804
2017-01-19,1033.5,1030.64,1035.13,1029.07,0.0,0.31,1019.1417205316924,1033.0319421106683,1032.951928054224
2017-01-20,1033.49,1033.44,1036.09,1029.06,0.0,-0.0,1019.8591345051076,1033.1693594774679,1033.3285784162672
