Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,1463.78,1470.55,1472.61,1460.67,45390000.0,-0.05,1463.78,1463.78,1463.78
2015-01-05,1454.81,1460.89,1467.69,1453.53,35660000.0,-0.61,1463.3315,1461.089,1457.5009999999993
2015-01-07,1421.34,1432.3,1441.31,1421.34,115960000.0,-2.3,1461.231925,1449.1643,1432.1882999999998
2015-01-08,1456.72,1439.2,1458.17,1428.54,109140000.0,2.49,1461.00632875,1451.4310099999998,1449.3604899999998
2015-01-09,1444.46,1453.51,1460.99,1439.15,82940000.0,-0.84,1460.1790123125006,1449.339707,1445.9301469999998
2015-01-12,1453.64,1455.54,1460.11,1444.55,81150000.0,0.64,1459.8520616968756,1450.6297949000002,1451.3270441
2015-01-13,1465.66,1451.12,1468.85,1449.84,98760000.0,0.83,1460.1424586120315,1455.13885643,1461.36011323
2015-01-14,1434.79,1454.85,1459.68,1434.79,118210000.0,-2.11,1458.87483568143,1449.034199501,1442.761033969
2015-01-15,1457.36,1446.46,1458.0,1421.84,155080000.0,1.57,1458.7990938973587,1451.5319396507,1452.9803101906998
2015-01-16,1468.9,1451.47,1470.47,1447.41,101830000.0,0.79,1459.3041392024911,1456.74235775549,1464.1240930572098
2015-01-19,1476.31,1473.85,1479.81,1466.78,79330000.0,0.5,1460.1544322423667,1462.6126504288434,1472.6542279171629
2015-01-20,1491.59,1480.86,1498.27,1480.62,130150000.0,1.04,1461.7262106302485,1471.3058553001902,1485.9092683751487
2015-01-21,1501.22,1496.28,1501.22,1483.26,94540000.0,0.65,1463.700900098736,1480.2800987101334,1496.6267805125449
2015-01-22,1523.8,1503.96,1526.46,1501.48,124910000.0,1.5,1466.705855093799,1493.3360690970933,1515.648034153763
2015-01-23,1536.39,1533.17,1540.91,1530.36,123660000.0,0.83,1470.1900623391089,1506.2522483679654,1530.1674102461288
2015-01-26,1554.7,1530.4,1554.7,1527.36,91620000.0,1.19,1474.4155592221537,1520.7865738575754,1547.3402230738384
2015-01-27,1533.37,1548.97,1554.66,1525.44,129120000.0,-1.37,1477.3632812610458,1524.561601700303,1537.5610669221514
2015-01-28,1562.54,1548.19,1562.54,1539.15,149680000.0,1.9,1481.6221171979935,1535.9551211902121,1555.0463200766453
2015-01-29,1570.39,1554.84,1570.84,1550.11,150320000.0,0.5,1486.0605113380939,1546.2855848331487,1565.7868960229935
2015-01-30,1573.62,1575.98,1582.1,1572.55,133080000.0,0.21,1490.4384857711893,1554.485909383204,1571.2700688068978
2015-02-02,1575.95,1576.17,1579.02,1567.63,98330000.0,0.15,1494.71406148263,1560.9251365682428,1574.5460206420694
2015-02-03,1593.42,1581.45,1594.63,1581.16,106450000.0,1.11,1499.6493584084985,1570.6735955977695,1587.7578061926208
2015-02-04,1579.31,1592.03,1596.27,1574.0,116650000.0,-0.89,1503.632390488073,1573.264516918439,1581.844341857786
2015-02-05,1586.13,1573.29,1588.32,1572.72,124940000.0,0.43,1507.7572709636695,1577.1241618429074,1584.8443025573356
2015-02-06,1599.55,1586.51,1601.12,1580.99,95450000.0,0.85,1512.3469074154862,1583.851913290035,1595.1382907672007
2015-02-09,1591.4,1591.15,1593.18,1582.56,93120000.0,-0.51,1516.2995620447116,1586.116339303025,1592.52148723016
2015-02-10,1602.74,1592.2,1605.94,1583.04,98420000.0,0.71,1520.6215839424765,1591.1034375121176,1599.6744461690478
