Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,7276.63,7282.94,7292.8,7266.81,59420.0,0.64,7276.63,7276.63,7276.63
2015-01-06,7277.74,7262.39,7279.92,7224.4,144540.0,0.02,7276.6855,7276.963000000002,7277.406999999997
2015-01-07,7309.7,7268.91,7341.7,7268.91,160240.0,0.44,7278.336225000001,7286.784099999999,7300.0121
2015-01-08,7367.63,7304.76,7373.66,7294.62,93610.0,0.79,7282.800913750001,7311.037869999997,7347.34463
2015-01-09,7402.72,7367.7,7446.66,7367.7,83350.0,0.48,7288.796868062501,7338.542508999999,7386.107388999999
2015-01-12,7358.36,7371.29,7382.65,7348.89,81630.0,-0.6,7292.275024659376,7344.487756299999,7366.684216699998
2015-01-13,7399.0,7358.53,7428.92,7358.53,65220.0,0.55,7297.611273426407,7360.8414294099975,7389.305265009999
2015-01-14,7490.88,7412.9,7530.41,7412.9,132370.0,1.24,7307.2747097550855,7399.853000587,7460.407579502999
2015-01-19,7485.32,7494.7,7502.05,7454.43,80010.0,-0.07,7316.176974267333,7425.4931004108985,7477.846273850899
2015-01-20,7452.81,7487.45,7508.77,7447.0,106970.0,-0.43,7323.008625553966,7433.688170287631,7460.320882155269
2015-01-21,7474.1,7467.06,7531.94,7451.34,77070.0,0.29,7330.5631942762675,7445.8117192013415,7469.9662646465795
2015-01-22,7416.31,7475.09,7475.09,7400.03,114160.0,-0.77,7334.850534562453,7436.961203440937,7432.406879393975
2015-01-23,7548.93,7469.1,7548.93,7469.1,111220.0,1.79,7345.554507834331,7470.551842408659,7513.9730638181945
2015-01-26,7586.67,7548.93,7586.67,7525.27,90290.0,0.5,7357.610282442613,7505.387289686059,7564.860919145458
2015-01-27,7630.57,7586.67,7631.85,7582.26,107100.0,0.58,7371.258268320485,7542.942102780242,7610.857275743637
2015-01-28,7661.18,7630.57,7661.18,7623.72,117260.0,0.4,7385.754354904459,7578.413471946169,7646.08318272309
2015-01-29,7617.3,7658.28,7736.97,7617.3,145220.0,-0.57,7397.331637159237,7590.079430362321,7625.934954816927
2015-01-30,7689.91,7645.52,7689.91,7645.52,48230.0,0.95,7411.960555301274,7620.028601253622,7670.717486445077
2015-02-02,7630.71,7689.91,7715.29,7590.71,61980.0,-0.77,7422.898027536211,7623.233020877537,7642.7122459335205
2015-02-03,7613.15,7631.19,7631.19,7582.04,80860.0,-0.23,7432.410626159401,7620.208114614275,7622.018673780056
2015-02-04,7716.06,7665.17,7738.12,7665.17,179410.0,1.35,7446.593094851431,7648.963680229994,7687.847602134018
2015-02-05,7674.24,7709.91,7709.91,7653.36,80190.0,-0.54,7457.975440108858,7656.546576160996,7678.3222806402055
2015-02-06,7728.18,7669.83,7728.18,7669.83,98740.0,0.7,7471.485668103417,7678.0366033126975,7713.222684192059
2015-02-09,7782.57,7728.39,7786.78,7728.39,259780.0,0.7,7487.039884698246,7709.396622318885,7761.765805257617
2015-02-10,7723.14,7782.77,7807.71,7723.14,321180.0,-0.76,7498.844890463332,7713.519635623222,7734.727741577286
2015-02-11,7686.43,7727.62,7758.46,7686.28,246870.0,-0.48,7508.2241459401685,7705.392744936254,7700.919322473186
2015-02-12,7714.59,7688.23,7717.92,7688.23,289680.0,0.37,7518.54243864316,7708.151921455378,7710.488796741955
2015-02-13,7773.45,7714.59,7777.99,7714.59,224770.0,0.76,7531.287816711001,7727.741345018765,7754.561639022585
2015-02-16,7784.65,7773.45,7801.02,7773.45,177190.0,0.14,7543.955925875451,7744.813941513134,7775.623491706775
2015-02-17,7793.4,7785.45,7795.42,7777.75,184640.0,0.11,7556.428129581678,7759.389759059196,7788.067047512031
2015-02-18,7803.45,7794.78,7840.39,7788.33,233750.0,0.13,7568.779223102594,7772.6078313414355,7798.8351142536085
2015-02-20,7825.39,7814.4,7825.39,7806.82,140810.0,0.28,7581.609761947465,7788.442481939006,7817.423534276083
2015-02-23,7826.07,7826.89,7854.8,7814.73,201760.0,0.01,7593.832773850091,7799.730737357303,7823.476060282825
2015-02-24,7834.86,7835.54,7848.63,7827.6,176350.0,0.11,7605.884135157587,7810.269516150112,7831.444818084848
2015-02-25,7844.06,7853.17,7862.91,7816.72,209410.0,0.12,7617.792928399707,7820.406661305078,7840.275445425454
2015-02-26,7764.39,7843.34,7843.34,7756.54,250620.0,-1.02,7625.1227819797205,7803.601662913556,7787.155633627635
2015-02-27,7730.57,7773.25,7797.56,7671.63,398400.0,-0.44,7630.395142880735,7781.6921640394885,7747.545690088291
2015-03-02,7773.92,7730.57,7773.92,7701.73,243850.0,0.56,7637.571385736699,7779.360514827642,7766.007707026487
2015-03-03,7776.51,7781.16,7809.52,7776.51,229530.0,0.03,7644.518316449865,7778.505360379349,7773.359312107946
2015-03-04,7847.83,7785.28,7853.54,7781.0,173930.0,0.92,7654.683900627372,7799.302752265545,7825.488793632383
2015-03-05,7819.04,7847.55,7847.67,7819.04,280270.0,-0.37,7662.901705596003,7805.2239265858825,7820.974638089714
2015-03-06,7861.33,7822.35,7861.33,7822.35,322250.0,0.54,7672.823120316202,7822.055748610117,7849.223391426914
2015-03-09,7820.29,7862.64,7862.64,7764.86,225810.0,-0.52,7680.196464300393,7821.526024027083,7828.970017428072
2015-03-10,7828.48,7821.43,7834.35,7812.84,221100.0,0.1,7687.610641085374,7823.612216818958,7828.627005228422
2015-03-11,7790.7,7828.48,7828.48,7772.78,233590.0,-0.48,7692.765109031105,7813.738551773272,7802.078101568525
2015-03-12,7839.82,7790.09,7839.82,7764.85,232280.0,0.63,7700.11785357955,7821.562986241292,7828.4974304705565
2015-03-13,7809.54,7845.84,7860.33,7809.54,228970.0,-0.39,7705.588960900573,7817.956090368903,7815.227229141165
2015-03-16,7730.95,7792.72,7804.6,7727.38,194810.0,-1.01,7706.857012855543,7791.854263258232,7756.23316874235
2015-03-17,7789.1,7730.38,7789.1,7730.38,223710.0,0.75,7710.969162212766,7791.02798428076,7779.239950622705
2015-03-18,7756.58,7788.11,7793.47,7744.25,289870.0,-0.42,7713.249704102129,7780.693588996533,7763.377985186811
2015-03-19,7814.55,7756.99,7830.23,7756.99,264860.0,0.75,7718.3147188970215,7790.850512297573,7799.198395556043
2015-03-20,7818.38,7800.99,7818.38,7774.74,452330.0,0.05,7723.3179829521705,7799.109358608301,7812.625518666813
2015-03-23,7840.49,7823.44,7850.2,7817.69,184540.0,0.28,7729.176583804563,7811.523551025809,7832.130655600044
2015-03-24,7828.94,7842.35,7844.93,7798.39,198690.0,-0.15,7734.164754614335,7816.748485718066,7829.897196680014
2015-03-25,7836.34,7828.27,7843.51,7814.03,190510.0,0.09,7739.273516883618,7822.6259400026465,7834.407159004004
2015-03-26,7871.1,7839.67,7871.1,7803.81,193730.0,0.44,7745.864841039437,7837.168158001852,7860.0921477012025
2015-03-27,7877.96,7871.37,7889.25,7849.2,176710.0,0.09,7752.469598987464,7849.405710601298,7872.599644310359
2015-03-30,7899.41,7935.48,8007.98,7899.41,223340.0,0.27,7759.816619038093,7864.406997420908,7891.366893293108
2015-03-31,7940.49,7899.41,7983.32,7899.41,183140.0,0.52,7768.850288086188,7887.231898194635,7925.753067987932
2015-04-01,7993.09,7941.88,7993.09,7931.38,130210.0,0.66,7780.062273681879,7918.989328736245,7972.888920396379
2015-04-06,8053.74,8009.45,8062.79,8006.8,155350.0,0.76,7793.746159997784,7959.414530115371,8029.484676118914
2015-04-07,8098.68,8054.95,8136.97,8054.95,175930.0,0.56,7808.992851997896,8001.19417108076,8077.921402835674
2015-04-08,8052.69,8098.68,8098.68,8026.81,240900.0,-0.57,7821.177709398001,8016.642919756532,8060.259420850702
2015-04-10,8127.48,8033.27,8134.38,8032.69,265680.0,0.93,7836.492823928101,8049.894043829571,8107.3138262552075
2015-04-13,8073.25,8129.88,8130.47,8052.23,163200.0,-0.67,7848.330682731696,8056.900830680701,8083.469147876563
2015-04-14,8056.49,8080.75,8095.98,8041.32,240810.0,-0.21,7858.738648595111,8056.777581476491,8064.583744362967
2015-04-15,7906.46,8057.28,8066.41,7859.6,388060.0,-1.86,7861.1247161653555,8011.682307033542,7953.8971233088905
2015-04-16,7948.2,7907.7,7948.2,7826.8,304030.0,0.53,7865.478480357087,7992.63761492348,7949.909136992666
2015-04-17,7946.89,7955.43,7996.44,7919.61,187890.0,-0.02,7869.549056339233,7978.913330446436,7947.7957410978015
2015-04-20,7865.27,7936.25,7936.25,7776.71,198090.0,-1.03,7869.33510352227,7944.820331312505,7890.027722329341
2015-04-21,7846.94,7866.32,7917.92,7815.09,181880.0,-0.23,7868.215348346159,7915.4562319187535,7859.866316698803
