Date,Price,Open,High,Low,Vol,Change
2015-01-02,4855.04,4857.6,4860.58,4789.16,291290000.0,1.17
2015-01-05,4702.88,4845.72,4894.7,4700.12,593300000.0,-3.13
2015-01-06,4640.26,4697.98,4707.81,4640.26,450640000.0,-1.33
2015-01-07,4606.25,4650.1,4679.09,4602.48,358320000.0,-0.73
2015-01-08,4743.56,4682.26,4754.36,4670.82,292950000.0,2.98
2015-01-09,4686.3,4756.88,4790.91,4650.56,277320000.0,-1.21
2015-01-12,4705.06,4685.05,4721.94,4652.48,227580000.0,0.4
2015-01-13,4826.39,4695.13,4826.39,4686.17,236570000.0,2.58
2015-01-14,4892.83,4806.51,4975.92,4806.51,612590000.0,1.38
2015-01-15,4956.77,4941.27,4981.65,4871.33,582380000.0,1.31
2015-01-16,5018.72,4947.85,5020.53,4927.03,357210000.0,1.25
2015-01-19,5059.92,5038.66,5059.92,4998.85,336020000.0,0.82
2015-01-20,5052.22,5059.06,5093.27,5022.41,382460000.0,-0.15
2015-01-21,5151.39,5058.02,5151.39,5027.21,445400000.0,1.96
2015-01-22,5273.15,5181.17,5273.15,5130.64,896520000.0,2.36
2015-01-23,5300.59,5337.62,5349.3,5289.36,548600000.0,0.52
2015-01-26,5360.03,5223.04,5376.69,5215.14,336350000.0,1.12
2015-01-27,5276.99,5350.22,5376.37,5256.14,238840000.0,-1.55
2015-01-28,5197.72,5301.9,5314.27,5182.86,750680000.0,-1.5
2015-01-29,5225.65,5180.5,5228.01,5097.4,622230000.0,0.54
2015-01-30,5144.55,5210.52,5218.7,5137.44,294900000.0,-1.55
2015-02-02,5213.34,5171.44,5225.79,5126.53,330850000.0,1.34
2015-02-03,5304.82,5245.69,5309.69,5243.3,619490000.0,1.75
2015-02-04,5274.97,5327.01,5327.01,5238.6,225770000.0,-0.56
2015-02-05,5273.54,5195.78,5277.92,5188.17,327780000.0,-0.03
2015-02-06,5264.63,5286.91,5289.08,5230.57,339340000.0,-0.17
2015-02-09,5220.72,5251.68,5281.28,5193.47,257090000.0,-0.83
2015-02-10,5227.12,5258.55,5261.01,5199.8,341160000.0,0.12
2015-02-11,5158.43,5211.17,5211.17,5141.85,243030000.0,-1.31
2015-02-12,5250.08,5151.74,5274.8,5147.41,429280000.0,1.78
2015-02-13,5334.81,5281.04,5349.57,5278.94,521960000.00000006,1.61
2015-02-16,5337.12,5354.79,5368.77,5328.64,263940000.0,0.04
2015-02-17,5415.95,5322.58,5429.85,5309.37,813350000.0,1.48
2015-02-18,5486.3,5443.09,5490.43,5443.09,533800000.0,1.3
2015-02-19,5454.82,5474.34,5474.34,5434.9,381820000.0,-0.57
2015-02-20,5469.88,5458.86,5485.71,5444.8,415040000.0,0.28
2015-02-23,5494.44,5511.86,5512.86,5462.44,392910000.0,0.45
2015-02-24,5588.87,5483.33,5588.87,5467.4,368770000.0,1.72
2015-02-25,5587.04,5584.18,5598.11,5549.49,404040000.0,-0.03
2015-02-26,5654.89,5583.86,5660.28,5565.09,932960000.0,1.21
2015-02-27,5689.7,5648.2,5689.7,5631.54,461970000.0,0.62
2015-03-02,5647.07,5696.99,5707.26,5631.03,251210000.0,-0.75
2015-03-03,5627.59,5688.24,5710.28,5620.13,1090000000.0,-0.34
2015-03-04,5541.1,5642.39,5660.77,5536.64,315530000.0,-1.54
2015-03-05,5636.67,5531.59,5648.85,5519.63,243480000.0,1.72
2015-03-06,5686.16,5650.02,5704.61,5641.57,344730000.0,0.88
2015-03-09,5686.56,5669.79,5713.3,5626.92,466050000.0,0.01
2015-03-10,5552.82,5681.52,5687.71,5534.85,545740000.0,-2.35
2015-03-11,5672.93,5569.2,5675.23,5561.07,814310000.0,2.16
2015-03-12,5719.85,5678.93,5719.85,5657.9,635190000.0,0.83
2015-03-13,5741.51,5730.11,5771.56,5715.63,423280000.0,0.38
2015-03-16,5789.53,5741.17,5797.94,5740.26,274440000.0,0.84
2015-03-17,5769.67,5799.64,5809.24,5729.48,427330000.0,-0.34
2015-03-18,5822.42,5779.47,5822.42,5731.0,396030000.0,0.91
2015-03-19,5871.55,5843.17,5893.85,5843.17,328580000.0,0.84
2015-03-20,5986.51,5884.6,5998.98,5880.29,825440000.0,1.96
2015-03-23,6005.01,5963.0,6005.01,5935.03,931380000.0,0.31
2015-03-24,6066.93,5985.11,6074.81,5966.28,1270000000.0,1.03
2015-03-25,6015.48,6053.88,6086.38,6006.37,823150000.0,-0.85
2015-03-26,5949.13,5972.89,5983.02,5895.98,534330000.00000006,-1.1
2015-03-27,6011.82,5974.65,6015.97,5944.01,399440000.0,1.05
2015-03-30,6015.79,6032.58,6062.94,5991.07,264920000.00000003,0.07
2015-03-31,5968.53,5992.79,6043.46,5934.16,257860000.0,-0.79
2015-04-01,6014.51,5941.45,6028.4,5940.22,325430000.0,0.77
2015-04-02,6035.36,6011.82,6035.36,5994.76,142080000.0,0.35
2015-04-07,6093.06,6038.86,6139.36,6038.82,505530000.0,0.96
2015-04-08,6203.59,6153.13,6226.94,6148.79,300040000.0,1.81
2015-04-09,6324.88,6221.76,6335.01,6209.63,379200000.0,1.96
2015-04-10,6308.18,6329.76,6348.46,6287.73,193760000.0,-0.26
2015-04-13,6313.26,6312.48,6316.16,6279.75,168950000.0,0.08
2015-04-14,6236.92,6303.7,6345.39,6213.38,391840000.0,-1.21
2015-04-15,6294.69,6236.95,6318.09,6233.21,261600000.00000003,0.93
2015-04-16,6140.86,6298.64,6298.64,6136.84,295630000.0,-2.44
2015-04-17,6001.87,6124.29,6136.12,5995.34,493330000.0,-2.26
2015-04-20,6041.56,6009.98,6072.45,6004.66,408550000.0,0.66
2015-04-21,6075.22,6079.99,6139.95,6029.53,464030000.0,0.56
2015-04-22,6014.1,6075.24,6076.53,5976.33,280040000.0,-1.01
2015-04-23,5984.51,6028.6,6042.01,5952.02,209440000.0,-0.49
2015-04-24,6038.61,6003.79,6071.5,5983.34,281110000.0,0.9
2015-04-27,6132.83,6052.4,6136.11,5979.5,247320000.0,1.56
2015-04-28,6098.04,6137.06,6137.06,6056.99,294490000.0,-0.57
2015-04-29,6011.06,6109.56,6118.32,5994.37,252700000.0,-1.43
2015-04-30,6094.68,6037.06,6102.39,6032.11,254770000.0,1.39
2015-05-04,6203.15,6115.78,6243.19,6089.0,404260000.0,1.78
2015-05-05,6053.7,6196.59,6219.53,6053.7,484890000.0,-2.41
2015-05-06,6034.63,6072.38,6074.1,6000.68,257980000.00000003,-0.32
2015-05-07,5999.67,6026.4,6027.53,5926.49,395240000.0,-0.58
2015-05-08,6109.89,6027.34,6113.04,6026.81,450360000.0,1.84
2015-05-11,6147.23,6109.82,6147.23,6109.82,259100000.00000003,0.61
2015-05-12,6101.98,6065.42,6101.98,6029.99,690780000.0,-0.74
2015-05-13,6156.09,6116.61,6197.24,6115.33,1110000000.0,0.89
2015-05-14,6161.15,6155.24,6166.68,6107.14,452450000.0,0.08
2015-05-15,6120.58,6174.81,6182.71,6112.57,263470000.00000003,-0.66
2015-05-18,6106.3,6122.9,6140.99,6058.31,335900000.0,-0.23
2015-05-19,6134.46,6123.45,6161.63,6123.45,257580000.0,0.46
2015-05-20,6100.31,6106.44,6130.41,6094.59,302110000.0,-0.56
2015-05-21,6103.63,6096.28,6127.6,6080.78,165840000.0,0.05
2015-05-22,6101.47,6107.94,6117.81,6071.94,145680000.0,-0.04
2015-05-25,5989.81,6079.89,6081.79,5978.4,173250000.0,-1.83
2015-05-26,5871.82,5968.92,5981.6,5860.42,346080000.0,-1.97
2015-05-27,5925.61,5864.56,5941.37,5843.37,479160000.0,0.92
2015-05-28,5931.91,5914.62,5959.31,5898.39,268620000.0,0.11
2015-05-29,5839.5,5921.97,5923.61,5839.5,452800000.0,-1.56
2015-06-01,5837.5,5852.24,5890.63,5825.96,259850000.00000003,-0.03
2015-06-02,5879.8,5853.33,5912.2,5814.3,335870000.0,0.72
2015-06-03,5936.78,5886.06,5967.98,5865.71,383350000.0,0.97
2015-06-04,5872.98,5922.7,5923.2,5860.07,231260000.0,-1.07
2015-06-05,5804.53,5858.88,5873.31,5796.38,243590000.0,-1.17
2015-06-08,5649.8,5775.48,5792.89,5649.8,250580000.0,-2.67
2015-06-09,5649.0,5628.65,5654.7,5557.39,251710000.0,-0.01
2015-06-10,5781.65,5636.61,5782.17,5611.56,171080000.0,2.35
2015-06-11,5848.66,5814.94,5930.21,5811.43,317760000.0,1.16
2015-06-12,5761.12,5792.38,5815.42,5710.0,285700000.0,-1.5
2015-06-15,5627.05,5669.87,5694.38,5612.42,467010000.0,-2.33
2015-06-16,5629.93,5583.23,5653.02,5501.6,539040000.0,0.05
2015-06-17,5583.6,5643.29,5666.07,5576.2,252240000.0,-0.82
2015-06-18,5583.05,5548.53,5604.24,5512.4,304300000.0,-0.01
2015-06-19,5621.63,5566.78,5695.54,5562.45,642510000.0,0.69
2015-06-22,5743.96,5738.8,5786.19,5668.8,533150000.0,2.18
2015-06-23,5921.04,5787.34,5926.55,5785.13,555920000.0,3.08
2015-06-24,5842.41,5913.9,5935.67,5813.8,459420000.0,-1.33
2015-06-25,5817.54,5798.33,5883.14,5765.3,366560000.0,-0.43
2015-06-26,5834.91,5794.07,5866.7,5768.91,262500000.0,0.3
2015-06-29,5530.5,5498.42,5620.9,5475.33,774830000.0,-5.22
2015-06-30,5551.94,5502.19,5604.12,5429.33,719650000.0,0.39
2015-07-01,5633.2,5589.61,5676.91,5519.92,497480000.0,1.46
2015-07-02,5617.71,5631.47,5647.05,5614.3,216120000.0,-0.27
2015-07-03,5579.38,5616.72,5616.9,5520.1,206940000.0,-0.68
2015-07-06,5366.84,5421.39,5501.19,5340.68,539050000.0,-3.81
2015-07-07,5246.41,5377.38,5415.91,5242.2,353750000.0,-2.24
2015-07-08,5320.44,5256.26,5348.54,5252.0,267150000.0,1.41
2015-07-09,5532.18,5370.08,5532.18,5365.19,473180000.0,3.98
2015-07-10,5700.13,5659.66,5716.3,5624.01,572130000.0,3.04
2015-07-13,5802.77,5702.36,5860.99,5697.33,721690000.0,1.8
2015-07-14,5766.97,5795.74,5804.38,5708.04,344940000.0,-0.62
2015-07-15,5812.83,5771.43,5812.83,5769.77,298160000.0,0.8
2015-07-16,5890.24,5863.13,5904.27,5859.58,394250000.0,1.33
2015-07-17,5865.23,5911.39,5912.73,5852.34,179810000.0,-0.42
2015-07-20,5866.29,5865.66,5929.72,5856.01,207640000.0,0.02
2015-07-21,5828.89,5895.16,5897.38,5810.07,315180000.0,-0.64
2015-07-22,5813.1,5784.15,5833.14,5776.14,167580000.0,-0.27
2015-07-23,5825.0,5846.37,5866.8,5825.0,267720000.00000003,0.2
2015-07-24,5790.52,5824.2,5838.63,5780.1,211790000.0,-0.59
2015-07-27,5676.86,5775.97,5780.96,5674.05,282280000.0,-1.96
2015-07-28,5659.86,5706.88,5706.88,5624.64,601600000.0,-0.3
2015-07-29,5698.99,5693.01,5717.8,5623.01,367100000.0,0.69
2015-07-30,5739.69,5752.57,5766.81,5698.79,233960000.0,0.71
2015-07-31,5715.61,5739.04,5749.27,5677.38,250620000.0,-0.42
2015-08-03,5746.51,5697.54,5767.78,5667.48,215740000.0,0.54
