Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,761.3,785.8,789.09,744.23,0.0,-3.72,761.3,761.3,761.3
2015-01-06,746.48,755.03,755.03,723.21,0.0,-1.95,760.559,756.8539999999998,750.9259999999997
2015-01-08,812.02,746.09,822.32,744.77,0.0,8.78,763.1320499999997,773.4038,793.6918
2015-01-09,782.62,810.07,820.15,765.94,0.0,-3.62,764.1064475,776.1686599999998,785.9415399999997
2015-01-12,756.63,776.45,778.97,748.92,0.0,-3.32,763.7326251249997,770.307062,765.423462
2015-01-13,737.88,755.23,758.15,724.64,0.0,-2.48,762.4399938687499,760.5789434,746.1430386
2015-01-14,743.06,738.15,744.39,723.98,0.0,0.7,761.4709941753124,755.32326038,743.9849115799999
2015-01-15,762.39,756.45,776.27,751.93,0.0,2.6,761.5169444665468,757.4432822660001,756.868473474
2015-01-16,769.8,754.78,770.68,747.84,0.0,0.97,761.9310972432193,761.1502975861999,765.9205420421997
2015-01-19,766.57,769.31,797.97,763.65,0.0,-0.42,762.1630423810584,762.7762083103398,766.3751626126599
2015-01-20,756.27,765.46,773.15,750.85,0.0,-1.34,761.8683902620055,760.824345817238,759.301548783798
2015-01-21,782.13,760.96,784.15,752.89,0.0,3.42,762.8814707489051,767.2160420720668,775.2814646351393
2015-01-22,817.14,782.68,821.34,778.57,0.0,4.48,765.59439721146,782.1932294504468,804.5824393905417
2015-01-23,820.99,821.41,845.65,817.06,0.0,0.47,768.3641773508873,793.8322606153126,816.0677318171623
2015-01-26,781.31,815.99,815.99,777.21,0.0,-4.83,769.0114684833427,790.0755824307187,791.7373195451488
2015-01-27,783.53,756.36,785.25,743.39,0.0,0.28,769.7373950591756,788.1119077015032,785.9921958635445
2015-01-28,765.37,790.52,803.54,762.88,0.0,-2.32,769.5190253062167,781.2893353910522,771.5566587590632
2015-01-29,747.45,762.85,769.31,747.45,0.0,-2.34,768.4155740409061,771.1375347737365,754.6819976277188
2015-01-30,737.35,751.79,764.59,720.31,0.0,-1.35,766.8622953388608,761.0012743416156,742.5495992883158
2015-02-02,745.82,754.84,760.07,725.17,0.0,1.15,765.8101805719177,756.4468920391312,744.8388797864948
2015-02-03,786.69,752.72,787.82,752.72,0.0,5.48,766.8541715433219,765.5198244273918,774.1346639359482
2015-02-04,770.63,797.84,809.96,766.18,0.0,-2.04,767.0429629661558,767.0528770991742,771.6813991807843
2015-02-05,804.5,765.11,807.65,753.37,0.0,4.4,768.9158148178481,778.2870139694219,794.6544197542353
2015-02-06,826.4,805.36,832.66,804.36,0.0,2.72,771.7900240769555,792.7209097785952,816.8763259262704
2015-02-09,840.48,827.14,882.93,825.07,0.0,1.7,775.2245228731077,807.0486368450167,833.3988977778813
2015-02-10,825.89,836.56,854.64,821.08,0.0,-1.74,777.7577967294524,812.7010457915117,828.1426693333642
2015-02-11,832.33,845.02,854.57,832.03,0.0,0.78,780.4864068929797,818.5897320540582,831.0738008000093
2015-02-12,861.93,853.08,884.41,821.76,0.0,3.56,784.5585865483307,831.5918124378405,852.6731402400026
2015-02-13,914.05,876.95,914.21,876.95,0.0,6.05,791.0331572209143,856.3292687064884,895.6369420720007
2015-02-16,897.35,912.76,924.06,895.59,0.0,-1.83,796.3489993598685,868.635488094542,896.8360826216002
2015-02-17,894.61,897.45,933.44,891.36,0.0,-0.31,801.262049391875,876.4278416661792,895.2778247864801
2015-02-18,929.35,906.39,937.07,906.39,0.0,3.88,807.6664469222814,892.3044891663255,919.1283474359441
2015-02-19,906.51,927.15,927.2,888.15,0.0,-2.46,812.6086245761672,896.5661424164281,910.2955042307832
2015-02-20,910.42,912.93,923.61,902.02,0.0,0.43,817.4991933473589,900.7222996914996,910.3826512692348
2015-02-24,888.69,897.12,898.04,869.91,0.0,-2.39,821.058733679991,897.1126097840497,895.1977953807706
2015-02-25,883.88,888.26,892.06,875.69,0.0,-0.54,824.1997969959914,893.1428268488347,887.2753386142311
2015-02-26,911.98,897.59,921.78,897.59,0.0,3.18,828.5888071461917,898.7939787941842,904.5686015842692
2015-02-27,896.63,905.06,912.25,885.11,0.0,-1.68,831.9908667888823,898.1447851559291,899.0115804752808
2015-03-02,903.56,901.62,907.21,892.23,0.0,0.77,835.569323449438,899.7693496091504,902.1954741425842
2015-03-03,917.05,899.0,925.73,894.09,0.0,1.49,839.6433572769663,904.9535447264052,912.5936422427752
2015-03-04,889.68,918.29,924.86,888.27,0.0,-2.98,842.1451894131177,900.3714813084836,896.5540926728322
2015-03-05,912.38,896.38,920.44,889.83,0.0,2.55,845.656929942462,903.9740369159384,907.6322278018497
2015-03-06,903.45,913.12,933.65,903.45,0.0,-0.98,848.5465834453389,903.8168258411572,904.7046683405548
2015-03-10,845.36,896.13,896.73,845.36,0.0,-6.43,848.3872542730719,886.2797780888098,863.1634005021665
2015-03-11,847.98,842.6,859.26,835.7,0.0,0.31,848.3668915594181,874.7898446621667,852.5350201506499
2015-03-12,859.26,855.74,871.1,855.74,0.0,1.33,848.9115469814475,870.1308912635167,857.2425060451949
2015-03-13,833.57,856.8,858.65,830.99,0.0,-2.99,848.1444696323749,859.1626238844618,840.6717518135588
2015-03-16,812.88,825.13,830.86,811.41,0.0,-2.48,846.3812461507562,845.2778367191232,821.2175255440675
2015-03-17,822.76,816.12,831.48,816.12,0.0,1.22,845.2001838432184,838.5224857033862,822.2972576632201
2015-03-18,841.05,826.54,845.96,826.54,0.0,2.22,844.9926746510574,839.2807399923703,835.4241772989659
2015-03-19,847.99,866.28,874.26,843.4,0.0,0.83,845.1425409185048,841.8935179946593,844.2202531896897
2015-03-20,862.14,845.57,868.32,839.26,0.0,1.67,845.9924138725794,847.9674625962615,856.7640759569067
2015-03-23,859.14,868.56,871.87,853.92,0.0,-0.35,846.6497931789504,851.3192238173831,858.427222787072
2015-03-24,880.28,859.34,882.98,851.88,0.0,2.46,848.3313035200027,860.007456672168,873.7241668361214
2015-03-25,882.07,882.91,897.01,877.37,0.0,0.2,850.0182383440027,866.6262196705177,879.5662500508362
2015-03-26,868.62,889.66,911.35,867.39,0.0,-1.52,850.9483264268026,867.2243537693622,871.9038750152507
2015-03-27,856.44,870.2,871.81,856.44,0.0,-1.4,851.2229101054625,863.9890476385538,861.0791625045752
2015-03-30,878.94,855.84,880.5,851.17,0.0,2.63,852.6087646001893,868.4743333469876,873.5817487513726
2015-03-31,880.42,881.12,888.44,871.33,0.0,0.17,853.9993263701798,872.0580333428912,878.3685246254117
2015-04-01,910.41,878.56,910.41,872.03,0.0,3.41,856.8198600516707,883.5636233400238,900.7975573876234
2015-04-02,933.58,908.83,935.28,908.16,0.0,2.55,860.6578670490874,898.5685363380168,923.745267216287
2015-04-03,930.12,934.88,943.39,925.79,0.0,-0.37,864.1309736966333,908.0339754366116,928.207580164886
2015-04-06,971.08,934.3,971.08,934.3,0.0,4.4,869.4784250118015,926.9477828056282,958.2182740494657
2015-04-07,971.24,967.5,975.32,955.06,0.0,0.02,874.5665037612114,940.2354479639398,967.3334822148396
2015-04-08,988.3,969.44,991.06,968.1,0.0,1.76,880.253178573151,954.6548135747577,982.010044664452
2015-04-09,1003.42,987.16,1008.4,985.53,0.0,1.53,886.4115196444933,969.2843695023304,996.9970133993352
2015-04-10,999.38,1008.16,1034.36,988.01,0.0,-0.4,892.0599436622687,978.3130586516313,998.6651040198004
2015-04-13,1004.62,984.71,1018.52,980.24,0.0,0.52,897.6879464791552,986.205141056142,1002.8335312059401
2015-04-14,1015.51,1011.08,1017.64,996.55,0.0,1.08,903.5790491551976,994.9965987392993,1011.7070593617821
2015-04-15,1052.33,1017.61,1053.31,1017.61,0.0,3.63,911.0165966974375,1012.1966191175096,1040.1431178085345
2015-04-16,1061.6,1060.6,1066.68,1043.05,0.0,0.88,918.5457668625658,1027.0176333822562,1055.1629353425599
2015-04-17,998.96,1065.37,1067.85,998.96,0.0,-5.9,922.5664785194375,1018.6003433675796,1015.8208806027679
2015-04-20,995.7,1004.97,1025.1,982.55,0.0,-0.33,926.2231545934656,1011.7302403573058,1001.7362641808304
2015-04-21,1007.69,995.24,1007.69,986.98,0.0,1.2,930.2964968637924,1010.518168250114,1005.9038792542493
2015-04-22,1004.0,1004.8,1007.32,992.5,0.0,-0.37,933.9816720206027,1008.5627177750798,1004.5711637762747
2015-04-23,1028.47,1009.19,1033.33,995.55,0.0,2.44,938.7060884195726,1014.534902442556,1021.3003491328824
2015-04-24,1037.52,1030.09,1054.21,1025.07,0.0,0.88,943.6467839985941,1021.4304317097893,1032.6541047398646
2015-04-27,1022.78,1041.08,1046.99,1020.03,0.0,-1.42,947.6034447986642,1021.8353021968525,1025.7422314219593
2015-04-28,1029.71,1016.94,1030.83,1004.13,0.0,0.68,951.708772558731,1024.1977115377967,1028.5196694265876
2015-04-29,1031.78,1027.74,1038.73,1019.29,0.0,0.2,955.7123339307943,1026.4723980764577,1030.8019008279764
2015-04-30,1029.31,1031.98,1036.42,1016.88,0.0,-0.24,959.3922172342546,1027.3236786535203,1029.7575702483928
2015-05-05,1072.93,1033.07,1073.6,1023.57,0.0,4.24,965.0691063725419,1041.0055750574645,1059.9782710745178
2015-05-06,1066.19,1074.19,1087.47,1063.53,0.0,-0.63,970.1251510539148,1048.560902540225,1064.3264813223552
2015-05-07,1060.73,1059.42,1067.21,1045.58,0.0,-0.51,974.6553935012191,1052.2116317781574,1061.8089443967065
2015-05-08,1059.52,1058.37,1059.73,1041.58,0.0,-0.11,978.898623826158,1054.4041422447099,1060.206683319012
2015-05-12,1070.19,1058.21,1070.19,1049.77,0.0,1.01,983.46319263485,1059.139899571297,1067.1950049957036
2015-05-13,1082.21,1072.6,1092.52,1072.6,0.0,1.12,988.4005330031076,1066.060929699908,1077.7055014987109
2015-05-14,1054.9,1077.56,1077.56,1052.09,0.0,-2.52,991.7255063529524,1062.7126507899357,1061.7416504496134
2015-05-15,1074.73,1057.24,1075.42,1056.18,0.0,1.88,995.8757310353044,1066.317855552955,1070.8334951348838
2015-05-18,1075.47,1075.16,1089.51,1074.41,0.0,0.07,999.8554444835394,1069.0634988870686,1074.079048540465
2015-05-19,1057.6,1076.33,1080.27,1045.99,0.0,-1.66,1002.7426722593623,1065.624449220948,1062.5437145621395
