Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,1483.25,1499.7,1502.1,1482.87,7130000000.0,-0.96,1483.25,1483.25,1483.25
2015-01-06,1477.58,1467.97,1478.35,1459.22,31340000000.0,-0.38,1482.9665,1481.549,1479.2809999999995
2015-01-07,1500.75,1478.84,1500.83,1478.26,12400000000.0,1.57,1483.855675,1487.3093,1494.3093
2015-01-08,1521.62,1514.9,1523.32,1514.18,18000000000.0,1.39,1485.7438912500006,1497.6025100000006,1513.4267899999998
2015-01-09,1529.42,1529.5,1531.21,1522.75,32280000000.0,0.51,1487.9276966875002,1507.1477570000006,1524.622037
2015-01-12,1531.21,1527.42,1538.93,1522.17,11350000000.0,0.12,1490.0918118531256,1514.3664299000006,1529.2336111
2015-01-13,1534.97,1520.71,1537.08,1515.08,12730000000.0,0.25,1492.335721260469,1520.5475009300005,1533.24908333
2015-01-14,1523.24,1539.58,1548.24,1521.81,18590000000.0,-0.76,1493.8809351974453,1521.3552506510005,1526.2427249989996
2015-01-15,1523.38,1528.83,1535.56,1521.01,9330000000.0,0.01,1495.3558884375732,1521.9626754557005,1524.2388174997
2015-01-16,1517.74,1515.71,1525.65,1514.83,9610000000.0,-0.37,1496.4750940156946,1520.6958728189904,1519.68964524991
2015-01-19,1535.37,1528.03,1536.14,1524.62,9190000000.0,1.16,1498.41983931491,1525.0981109732934,1530.6658935749729
2015-01-20,1535.09,1539.46,1542.6,1531.55,12450000000.0,-0.02,1500.2533473491644,1528.0956776813055,1533.7627680724918
2015-01-21,1537.36,1538.31,1540.08,1530.83,12520000000.0,0.15,1502.1086799817062,1530.8749743769138,1536.2808304217474
2015-01-22,1560.34,1546.76,1561.3,1543.67,14020000000.0,1.49,1505.0202459826207,1539.7144820638391,1553.1222491265241
2015-01-23,1598.33,1570.81,1601.05,1569.52,14420000000.0,2.43,1509.6857336834894,1557.2991374446874,1584.7676747379571
2015-01-26,1588.31,1602.13,1610.78,1588.04,12420000000.0,-0.63,1513.6169469993156,1566.602396211281,1587.2473024213864
2015-01-27,1589.81,1589.44,1605.67,1586.94,13410000000.0,0.09,1517.4265996493493,1573.5646773478968,1589.041190726416
2015-01-28,1592.81,1594.5,1603.12,1582.66,15500000000.0,0.19,1521.195769666882,1579.3382741435278,1591.6793572179251
2015-01-29,1586.4,1591.94,1599.49,1582.36,20480000000.0,-0.4,1524.455981183538,1581.4567919004694,1587.9838071653776
2015-01-30,1581.25,1591.54,1592.83,1581.01,12630000000.0,-0.32,1527.295682124361,1581.3947543303284,1583.270142149613
2015-02-02,1582.7,1577.65,1583.99,1571.69,20480000000.0,0.09,1530.0658980181433,1581.78632803123,1582.8710426448838
2015-02-03,1602.54,1592.08,1604.84,1591.85,17020000000.0,1.25,1533.689603117236,1588.012429621861,1596.6393127934643
2015-02-04,1599.81,1616.41,1619.77,1599.81,13780000000.0,-0.17,1536.9956229613742,1591.5517007353023,1598.8587938380394
2015-02-05,1607.92,1595.06,1607.92,1588.06,10840000000.0,0.51,1540.5418418133054,1596.462190514712,1605.2016381514118
2015-02-06,1613.63,1614.47,1615.78,1609.07,10770000000.0,0.36,1544.1962497226405,1601.6125333602984,1611.1014914454236
2015-02-09,1601.77,1609.78,1614.97,1601.77,14940000000.0,-0.73,1547.0749372365085,1601.659773352209,1604.569447433627
2015-02-10,1594.96,1600.57,1606.69,1592.59,13260000000.0,-0.43,1549.4691903746825,1599.6498413465467,1597.8428342300879
2015-02-11,1605.11,1599.42,1605.69,1583.93,11620000000.0,0.64,1552.2512308559485,1601.2878889425824,1602.9298502690262
2015-02-12,1613.4,1606.06,1613.44,1598.64,10710000000.0,0.52,1555.3086693131506,1604.9215222598075,1610.2589550807074
2015-02-13,1615.89,1616.79,1619.65,1611.58,11980000000.0,0.15,1558.3377358474936,1608.2120655818653,1614.2006865242126
2015-02-16,1608.04,1616.89,1619.17,1607.83,10870000000.0,-0.49,1560.8228490551187,1608.1604459073055,1609.8882059572634
2015-02-17,1587.75,1607.32,1610.21,1587.75,14620000000.0,-1.26,1562.1692066023627,1602.0373121351142,1594.391461787179
2015-02-18,1603.14,1590.71,1603.7,1590.21,18190000000.0,0.97,1564.2177462722445,1602.3681184945801,1600.5154385361539
2015-02-19,1599.96,1603.22,1608.0,1598.18,12520000000.0,-0.2,1566.0048589586322,1601.645682946206,1600.126631560846
2015-02-20,1603.45,1604.56,1609.15,1600.63,11440000000.0,0.22,1567.8771160107003,1602.186978062344,1602.4529894682535
2015-02-23,1593.89,1608.53,1610.24,1593.48,15780000000.0,-0.6,1569.1777602101654,1599.6978846436414,1596.458896840476
2015-02-24,1598.66,1597.0,1604.96,1595.48,12820000000.0,0.3,1570.6518721996572,1599.3865192505484,1597.9996690521427
2015-02-25,1589.33,1602.16,1603.1,1584.12,13570000000.0,-0.58,1571.5857785896744,1596.369563475384,1591.9309007156428
2015-02-26,1593.55,1590.29,1593.56,1566.96,15840000000.0,0.27,1572.6839896601905,1595.523694432769,1593.0642702146927
2015-02-27,1587.01,1590.93,1594.44,1586.1,15490000000.0,-0.41,1573.4002901771814,1592.969586102938,1588.8262810644073
2015-03-02,1582.14,1588.14,1590.02,1573.64,16550000000.0,-0.31,1573.8372756683218,1589.720710272057,1584.1458843193222
2015-03-03,1562.84,1580.36,1582.67,1562.84,19970000000.0,-1.22,1573.2874118849054,1581.6564971904395,1569.2317652957965
2015-03-05,1553.33,1559.4,1561.88,1545.1,15070000000.0,-0.61,1572.2895412906605,1573.158548033308,1558.100529588739
2015-03-06,1568.29,1553.05,1568.7,1552.06,9320000000.0,0.96,1572.0895642261273,1571.6979836233154,1565.2331588766215
2015-03-09,1559.71,1558.54,1565.19,1553.17,9540000000.0,-0.55,1571.4705860148208,1568.1015885363206,1561.3669476629864
2015-03-10,1531.04,1560.94,1562.82,1531.0,10420000000.0,-1.84,1569.44905671408,1556.9831119754244,1540.1380842988956
2015-03-11,1543.84,1524.38,1544.19,1520.2,11390000000.0,0.84,1568.168603878376,1553.040178382797,1542.7294252896686
2015-03-12,1544.34,1543.06,1549.02,1534.11,8930000000.0,0.03,1566.9771736844573,1550.4301248679574,1543.8568275869006
2015-03-13,1541.55,1547.68,1551.86,1539.56,8880000000.0,-0.18,1565.7058150002345,1547.7660874075705,1542.24204827607
2015-03-16,1515.57,1534.47,1535.9,1512.17,11990000000.0,-1.69,1563.1990242502227,1538.1072611852994,1523.5716144828214
2015-03-17,1512.84,1525.5,1527.95,1511.4,9920000000.0,-0.18,1560.6810730377115,1530.5270828297091,1516.0594843448462
