Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,2058.2,2058.9,2072.36,2046.04,0.0,-0.03,2058.2,2058.2,2058.2
2015-01-05,2020.58,2054.44,2054.44,2017.34,0.0,-1.83,2056.319,2046.914,2031.866
2015-01-06,2002.61,2022.15,2030.25,1992.44,0.0,-0.89,2053.63355,2033.6228,2011.3868
2015-01-07,2025.9,2005.55,2029.61,2005.55,0.0,1.16,2052.246872500001,2031.3059600000001,2021.54604
2015-01-08,2062.14,2030.61,2064.08,2030.61,0.0,1.79,2052.741528875,2040.5561719999998,2049.961812
2015-01-09,2044.81,2063.45,2064.43,2038.33,0.0,-0.84,2052.3449524312496,2041.8323204,2046.3555436000001
2015-01-12,2028.26,2046.13,2049.3,2022.58,0.0,-0.81,2051.1407048096867,2037.76062428,2033.68866308
2015-01-13,2023.03,2031.58,2056.93,2008.25,0.0,-0.26,2049.7351695692028,2033.341436996,2026.227598924
2015-01-14,2011.27,2018.4,2018.4,1988.44,0.0,-0.58,2047.8119110907428,2026.7200058972,2015.7572796772
2015-01-15,1992.67,2013.75,2021.35,1991.47,0.0,-0.92,2045.054815536205,2016.50500412804,1999.5961839031602
2015-01-16,2019.42,1992.25,2020.46,1988.12,0.0,1.34,2043.7730747593955,2017.379502889628,2013.472855170948
2015-01-20,2022.55,2020.76,2028.94,2004.49,0.0,0.15,2042.7119210214253,2018.9306520227399,2019.826856551284
2015-01-21,2032.12,2020.19,2038.29,2012.04,0.0,0.47,2042.182324970354,2022.8874564159173,2028.432056965385
2015-01-22,2063.15,2034.3,2064.62,2026.38,0.0,1.53,2043.2307087218364,2034.9662194911425,2052.7346170896153
2015-01-23,2051.82,2062.98,2062.98,2050.54,0.0,-0.55,2043.6601732857446,2040.0223536438,2052.094385126885
2015-01-26,2057.09,2050.42,2057.62,2040.97,0.0,0.26,2044.3316646214573,2045.14264755066,2055.5913155380654
2015-01-27,2029.55,2047.86,2047.86,2019.91,0.0,-1.34,2043.5925813903848,2040.4648532854621,2037.36239466142
2015-01-28,2002.16,2032.34,2042.49,2001.49,0.0,-1.35,2041.5209523208653,2028.9733972998235,2012.7207183984256
2015-01-29,2021.25,2002.45,2024.64,1989.18,0.0,0.95,2040.5074047048224,2026.6563781098766,2018.691215519528
2015-01-30,1994.99,2019.35,2023.32,1993.38,0.0,-1.3,2038.2315344695808,2017.1564646769132,2002.1003646558584
2015-02-02,2020.85,1996.67,2021.66,1980.9,0.0,1.3,2037.3624577461014,2018.2645252738398,2015.2251093967573
2015-02-03,2050.03,2022.71,2050.3,2022.71,0.0,1.44,2037.995834858797,2027.794167691688,2039.588532819027
2015-02-04,2041.51,2048.86,2054.74,2036.72,0.0,-0.42,2038.1715431158573,2031.9089173841805,2040.9335598457087
2015-02-05,2062.52,2043.45,2063.55,2043.45,0.0,1.03,2039.3889659600643,2041.0922421689268,2056.0440679537123
2015-02-06,2055.47,2062.28,2072.4,2049.97,0.0,-0.34,2040.1930176620613,2045.405569518249,2055.6422203861134
2015-02-09,2046.74,2053.47,2056.16,2041.88,0.0,-0.42,2040.520366778958,2045.8058986627732,2049.410666115834
2015-02-10,2068.59,2049.38,2070.86,2048.62,0.0,1.07,2041.9238484400105,2052.6411290639417,2062.83619983475
2015-02-11,2068.53,2068.55,2073.48,2057.99,0.0,-0.0,2043.2541560180096,2057.4077903447587,2066.8218599504253
2015-02-12,2088.48,2069.98,2088.53,2069.98,0.0,0.96,2045.5154482171088,2066.729453241332,2081.9825579851267
2015-02-13,2096.99,2088.78,2097.03,2086.7,0.0,0.41,2048.089175806254,2075.807617268932,2092.487767395538
2015-02-17,2100.34,2096.47,2101.3,2089.8,0.0,0.16,2050.7017170159406,2083.1673320882524,2097.9843302186614
2015-02-18,2099.68,2099.16,2100.23,2092.15,0.0,-0.03,2053.150631165144,2088.1211324617766,2099.1712990655983
2015-02-19,2097.45,2099.25,2102.13,2090.79,0.0,-0.11,2055.3655996068865,2090.9197927232435,2097.9663897196792
2015-02-20,2110.3,2097.65,2110.61,2085.44,0.0,0.61,2058.112319626542,2096.7338549062706,2106.599916915904
2015-02-23,2109.66,2109.83,2110.05,2103.0,0.0,-0.03,2060.689703645215,2100.6116984343894,2108.7419750747713
2015-02-24,2115.48,2109.1,2117.94,2105.87,0.0,0.28,2063.4292184629544,2105.0721889040724,2113.458592522431
2015-02-25,2113.86,2115.3,2119.59,2109.89,0.0,-0.08,2065.9507575398065,2107.7085322328508,2113.739577756729
2015-02-26,2110.74,2113.91,2113.91,2103.76,0.0,-0.15,2068.1902196628157,2108.6179725629954,2111.6398733270184
2015-02-27,2104.5,2110.88,2112.74,2103.75,0.0,-0.3,2070.005708679675,2107.3825807940966,2106.6419619981048
2015-03-02,2117.39,2105.23,2117.52,2104.5,0.0,0.61,2072.3749232456908,2110.3848065558677,2114.1655885994314
2015-03-03,2107.78,2115.76,2115.76,2098.26,0.0,-0.45,2074.1451770834065,2109.6033645891075,2109.695676579829
2015-03-04,2098.53,2107.72,2107.72,2087.62,0.0,-0.44,2075.364418229236,2106.2813552123753,2101.879702973949
2015-03-05,2101.04,2098.54,2104.25,2095.22,0.0,0.12,2076.6481973177742,2104.708948648663,2101.2919108921847
2015-03-06,2071.26,2100.91,2100.91,2067.27,0.0,-1.42,2076.3787874518853,2094.674264054064,2080.269573267656
2015-03-09,2079.43,2072.25,2083.49,2072.21,0.0,0.39,2076.5313480792915,2090.100984837845,2079.681871980297
2015-03-10,2044.16,2076.14,2076.14,2044.16,0.0,-1.7,2074.912780675327,2076.3186893864913,2054.816561594089
2015-03-11,2040.24,2044.69,2050.08,2039.69,0.0,-0.19,2073.179141641561,2065.495082570544,2044.6129684782265
2015-03-12,2065.95,2041.1,2066.41,2041.1,0.0,1.26,2072.8176845594826,2065.6315577993805,2059.548890543468
2015-03-13,2053.4,2064.56,2064.56,2041.17,0.0,-0.61,2071.8468003315083,2061.9620904595668,2055.24466716304
2015-03-16,2081.19,2055.35,2081.41,2055.35,0.0,1.35,2072.313960314933,2067.7304633216963,2073.406400148912
2015-03-17,2074.28,2080.59,2080.59,2065.08,0.0,-0.33,2072.4122622991863,2069.6953243251874,2074.017920044673
2015-03-18,2099.5,2072.84,2106.85,2061.23,0.0,1.22,2073.766649184227,2078.6367270276314,2091.8553760134023
2015-03-19,2089.27,2098.69,2098.69,2085.56,0.0,-0.49,2074.5418167250155,2081.826708919342,2090.0456128040205
2015-03-20,2108.1,2090.32,2113.92,2090.32,0.0,0.9,2076.2197258887645,2089.708696243539,2102.683683841206
2015-03-23,2104.42,2107.99,2114.86,2104.42,0.0,-0.17,2077.6297395943257,2094.1220873704774,2103.899105152361
2015-03-24,2091.5,2103.94,2107.63,2091.5,0.0,-0.61,2078.3232526146107,2093.335461159334,2095.219731545709
2015-03-25,2061.05,2093.1,2097.43,2061.05,0.0,-1.46,2077.459589983879,2083.6498228115342,2071.3009194637125
2015-03-26,2056.15,2059.94,2067.15,2045.5,0.0,-0.24,2076.394110484685,2075.399875968073,2060.695275839114
2015-03-27,2061.02,2055.78,2062.83,2052.96,0.0,0.24,2075.6254049604504,2071.0859131776515,2060.922582751734
2015-03-30,2086.24,2064.11,2088.97,2064.11,0.0,1.22,2076.156134712428,2075.6321392243563,2078.64477482552
2015-03-31,2067.89,2084.05,2084.05,2067.04,0.0,-0.88,2075.7428279768064,2073.3094974570495,2071.116432447656
2015-04-01,2059.69,2067.63,2067.63,2048.38,0.0,-0.4,2074.940186577966,2069.2236482199346,2063.1179297342965
2015-04-02,2066.96,2060.03,2072.17,2057.32,0.0,0.35,2074.5411772490675,2068.544553753954,2065.807378920289
2015-04-06,2080.62,2064.87,2086.99,2056.52,0.0,0.66,2074.845118386614,2072.167187627768,2076.1762136760863
2015-04-07,2076.33,2080.79,2089.81,2076.1,0.0,-0.21,2074.9193624672835,2073.4160313394377,2076.2838641028256
2015-04-08,2081.9,2076.94,2086.69,2073.3,0.0,0.27,2075.268394343919,2075.9612219376068,2080.2151592308473
2015-04-09,2091.18,2081.29,2093.31,2074.29,0.0,0.45,2076.063974626724,2080.5268553563246,2087.890547769254
2015-04-10,2102.06,2091.51,2102.61,2091.51,0.0,0.52,2077.363775895388,2086.9867987494267,2097.809164330776
2015-04-13,2092.43,2102.03,2107.65,2092.33,0.0,-0.46,2078.117087100618,2088.619759124599,2094.043749299233
2015-04-14,2095.84,2092.28,2098.62,2083.24,0.0,0.16,2079.003232745587,2090.7858313872193,2095.30112478977
2015-04-15,2106.63,2097.82,2111.91,2097.82,0.0,0.51,2080.384571108308,2095.5390819710533,2103.231337436931
2015-04-16,2104.99,2105.96,2111.3,2100.02,0.0,-0.08,2081.6148425528922,2098.3743573797374,2104.4624012310787
2015-04-17,2081.18,2102.58,2102.58,2072.37,0.0,-1.13,2081.5931004252475,2093.216050165817,2088.1647203693233
2015-04-20,2100.4,2084.11,2103.94,2084.11,0.0,0.92,2082.5334454039853,2095.3712351160707,2096.729416110797
2015-04-21,2097.29,2102.82,2109.64,2094.38,0.0,-0.15,2083.271273133786,2095.94686458125,2097.1218248332393
2015-04-22,2107.96,2098.27,2109.98,2091.05,0.0,0.51,2084.505709477097,2099.550805206875,2104.708547449972
2015-04-23,2112.93,2107.21,2120.49,2103.19,0.0,0.24,2085.9269240032418,2103.5645636448126,2110.4635642349913
2015-04-24,2117.69,2112.8,2120.92,2112.8,0.0,0.23,2087.51507780308,2107.8021945513688,2115.522069270497
2015-04-27,2108.92,2119.29,2125.92,2107.04,0.0,-0.41,2088.585323912926,2108.1375361859577,2110.900620781149
2015-04-28,2114.76,2108.35,2116.09,2094.89,0.0,0.28,2089.89405771728,2110.124275330171,2113.602186234345
2015-04-29,2106.85,2112.49,2113.65,2097.41,0.0,-0.37,2090.741854831416,2109.1419927311194,2108.8756558703035
2015-04-30,2085.51,2105.52,2105.52,2077.59,0.0,-1.01,2090.480262089845,2102.052394911784,2092.519696761091
2015-05-01,2108.29,2087.38,2108.41,2087.38,0.0,1.09,2091.3707489853527,2103.9236764382485,2103.558909028327
2015-05-04,2114.49,2110.23,2120.95,2110.23,0.0,0.29,2092.5267115360853,2107.093573506774,2111.210672708498
2015-05-05,2089.46,2112.63,2115.24,2088.46,0.0,-1.18,2092.373375959281,2101.8035014547413,2095.9852018125493
2015-05-06,2080.15,2091.26,2098.42,2067.93,0.0,-0.45,2091.7622071613173,2095.307451018319,2084.9005605437646
2015-05-07,2088.0,2079.96,2092.9,2074.99,0.0,0.38,2091.574096803251,2093.115215712824,2087.0701681631294
2015-05-08,2116.1,2092.13,2117.66,2092.13,0.0,1.35,2092.8003919630887,2100.0106509989764,2107.3910504489386
2015-05-11,2105.33,2115.56,2117.69,2104.58,0.0,-0.51,2093.4268723649343,2101.6064556992833,2105.9483151346813
2015-05-12,2099.12,2102.87,2105.06,2085.57,0.0,-0.29,2093.711528746688,2100.860518989499,2101.168494540404
2015-05-13,2098.48,2099.62,2110.19,2096.04,0.0,-0.03,2093.949952309353,2100.146363292649,2099.2865483621213
2015-05-14,2121.1,2100.43,2121.45,2100.43,0.0,1.08,2095.3074546938856,2106.432454304854,2114.555964508636
2015-05-15,2122.73,2122.07,2123.89,2116.79,0.0,0.08,2096.6785819591914,2111.321718013398,2120.277789352591
2015-05-18,2129.2,2121.3,2131.78,2120.01,0.0,0.3,2098.304652861232,2116.6852026093784,2126.523336805777
2015-05-19,2127.83,2129.45,2133.02,2124.5,0.0,-0.06,2099.7809202181697,2120.028641826565,2127.4380010417326
2015-05-20,2125.85,2127.79,2134.72,2122.59,0.0,-0.09,2101.084374207261,2121.7750492785954,2126.32640031252
2015-05-21,2130.82,2125.55,2134.28,2122.95,0.0,0.23,2102.5711554968984,2124.4885344950167,2129.471920093756
2015-05-22,2126.06,2130.36,2132.15,2126.06,0.0,-0.22,2103.7455977220534,2124.959974146512,2127.083576028127
2015-05-26,2104.2,2125.34,2125.34,2099.18,0.0,-1.03,2103.7683178359507,2118.731981902558,2111.065072808438
2015-05-27,2123.48,2105.13,2126.22,2105.13,0.0,0.92,2104.7539019441533,2120.1563873317905,2119.7555218425314
2015-05-28,2120.79,2122.27,2122.27,2112.86,0.0,-0.13,2105.5557068469457,2120.346471132253,2120.4796565527595
2015-05-29,2107.39,2120.66,2120.66,2104.89,0.0,-0.63,2105.6474215045982,2116.459529792577,2111.316896965828
