Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,3350.52,3258.63,3369.28,3253.88,53140000000.0,3.58,3350.52,3350.52,3350.52
2015-01-06,3351.45,3330.8,3394.22,3303.18,50170000000.0,0.03,3350.5665,3350.7990000000004,3351.171
2015-01-07,3373.95,3326.65,3374.9,3312.21,39190000000.0,0.67,3351.735675,3357.7443,3367.1163
2015-01-08,3293.46,3371.96,3381.57,3285.1,37110000000.0,-2.39,3348.82189125,3338.45901,3315.55689
2015-01-09,3285.41,3276.97,3404.83,3267.51,41020000000.0,-0.24,3345.6512966875,3322.544307,3294.454067
2015-01-12,3229.32,3258.21,3275.19,3191.58,32210000000.0,-1.71,3339.834731853125,3294.5770149,3248.8602201
2015-01-13,3235.3,3223.54,3259.39,3214.41,23070000000.0,0.19,3334.6079952604696,3276.79391043,3239.36806603
2015-01-14,3222.44,3242.34,3268.48,3193.98,24020000000.0,-0.4,3328.999595497446,3260.4877373010004,3227.518419809
2015-01-15,3336.45,3224.07,3337.08,3207.55,28250000000.0,3.54,3329.372115722573,3283.2764161107,3303.7705259427003
2015-01-16,3376.49,3343.6,3400.32,3340.49,33990000000.000008,1.2,3331.728009936445,3311.2404912774896,3354.674157782809
2015-01-19,3116.35,3189.73,3262.21,3095.07,40110000000.0,-7.7,3320.959109439623,3252.773343894243,3187.8472473348425
2015-01-20,3173.05,3114.56,3190.25,3100.48,35710000000.0,1.82,3313.563653967641,3228.85634072597,3177.4891742004525
2015-01-21,3323.61,3189.09,3337.0,3178.34,41100000000.0,4.74,3314.0659712692595,3257.2824385081785,3279.773752260136
2015-01-22,3343.34,3327.32,3352.38,3293.98,35340000000.0,0.59,3315.529672705797,3283.099706955725,3324.27012567804
2015-01-23,3351.76,3357.1,3406.79,3328.29,36620000000.0,0.25,3317.3411890705074,3303.6977948690082,3343.513037703412
2015-01-26,3383.18,3347.26,3384.8,3321.31,31750000000.0,0.94,3320.633129616981,3327.542456408305,3371.279911311023
2015-01-27,3352.96,3389.85,3390.22,3290.22,37450000000.0,-0.89,3322.249473136133,3335.1677194858144,3358.455973393306
2015-01-28,3305.74,3325.72,3354.8,3294.65,30190000000.0,-1.41,3321.423999479326,3326.3394036400696,3321.5547920179915
2015-01-29,3262.3,3259.0,3286.79,3234.24,27470000000.0,-1.31,3318.4677995053607,3307.127582548049,3280.0764376053967
2015-01-30,3210.36,3273.75,3288.5,3210.31,25830000000.0,-1.59,3313.0624095300927,3278.097307783634,3231.274931281619
2015-02-02,3128.3,3148.14,3175.13,3122.57,25090000000.0,-2.56,3303.824289053587,3233.158115448544,3159.192479384485
2015-02-03,3204.91,3156.09,3207.94,3129.73,24820000000.0,2.45,3298.8785746009075,3224.6836808139806,3191.1947438153456
2015-02-04,3174.13,3212.82,3238.98,3171.14,24910000000.0,-0.96,3292.6411458708612,3209.5175765697863,3179.2494231446035
2015-02-05,3136.53,3251.21,3251.21,3135.82,30610000000.0,-1.18,3284.8355885773185,3187.621303598851,3149.345826943381
2015-02-06,3075.91,3120.09,3129.54,3052.94,24680000000.0,-1.93,3274.389309148453,3154.1079125191955,3097.940748083014
2015-02-09,3095.12,3063.51,3119.03,3049.11,20610000000.0,0.62,3265.4258436910304,3136.411538763436,3095.966224424905
2015-02-10,3141.59,3090.49,3142.1,3084.25,19380000000.0,1.5,3259.234051506479,3137.965077134407,3127.9028673274706
2015-02-11,3157.7,3145.77,3166.42,3139.05,17280000000.0,0.51,3254.157348931155,3143.8855539940837,3148.760860198241
2015-02-12,3173.42,3157.96,3181.77,3134.24,19460000000.0,0.5,3250.1204814845973,3152.745887795859,3166.022258059472
2015-02-13,3203.83,3186.81,3237.16,3182.79,26130000000.0,0.96,3247.805957410367,3168.0711214571006,3192.487677417841
2015-02-16,3222.36,3206.14,3228.85,3195.88,22380000000.0,0.58,3246.5336595398485,3184.357785019971,3213.3983032253527
2015-02-17,3246.91,3230.88,3255.73,3230.77,22830000000.0,0.76,3246.5524765628556,3203.12344951398,3236.856490967605
2015-02-25,3228.84,3256.48,3257.22,3215.55,23330000000.0,-0.56,3245.6668527347133,3210.838414659785,3231.244947290281
2015-02-26,3298.36,3222.15,3300.62,3202.19,30130000000.0,2.15,3248.301510097978,3237.094890261849,3278.2254841870845
2015-02-27,3310.3,3296.83,3324.55,3291.01,29920000000.0,0.36,3251.401434593079,3259.0564231832955,3300.677645256125
