Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,8938.85,9002.82,9070.85,8938.85,58040000.0,-0.5,8938.85,8938.85,8938.85
2015-01-06,8874.47,8948.89,8991.26,8867.79,48700000.0,-0.72,8935.631,8919.536,8893.784
2015-01-07,8900.83,8881.03,8945.58,8862.13,50920000.0,0.3,8933.89095,8913.9242,8898.716199999999
2015-01-08,9139.69,8981.59,9152.06,8981.59,56700000.0,2.68,8944.1809025,8981.65394,9067.39786
2015-01-09,9105.7,9116.49,9182.23,9075.95,56910000.0,-0.37,8952.256857375,9018.867758,9094.209358
2015-01-12,9152.97,9148.99,9200.63,9103.31,52250000.0,0.52,8962.29251450625,9059.0984306,9135.341807399998
2015-01-13,9285.63,9130.58,9292.44,9120.82,61180000.0,1.45,8978.459388780939,9127.05790142,9240.54354222
2015-01-14,9198.2,9200.88,9281.82,9174.8,69220000.0,-0.94,8989.446419341892,9148.400530994,9210.903062666
2015-01-15,8400.61,9259.19,9277.24,7932.23,346770000.0,-8.67,8960.004598374797,8924.0633716958,8643.697918799799
2015-01-16,7899.59,8188.83,8189.51,7852.83,194350000.0,-5.96,8906.983868456056,8616.721360187059,8122.822375639939
2015-01-19,8152.78,8008.25,8244.03,7984.23,99960000.0,3.21,8869.273675033253,8477.538952130944,8143.792712691982
2015-01-20,8178.9,8235.04,8271.74,8162.2,85960000.0,0.32,8834.75499128159,8387.94726649166,8168.367813807594
2015-01-21,8008.55,8175.43,8185.34,7917.78,87650000.0,-2.08,8793.44474171751,8274.128086544162,8056.495344142278
2015-01-22,7999.48,8005.14,8013.6,7860.49,87530000.0,-0.11,8753.746504631636,8191.733660580913,8016.584603242682
2015-01-23,8161.16,8024.95,8166.37,7996.28,83860000.0,2.02,8724.117179400055,8182.5615624066395,8117.787380972804
2015-01-26,8296.45,8152.76,8311.31,8144.61,65050000.0,1.66,8702.733820430052,8216.728093684647,8242.85121429184
2015-01-27,8402.82,8315.82,8443.7,8307.83,74610000.0,1.28,8687.738129408548,8272.555665579253,8354.82936428755
2015-01-28,8311.55,8415.64,8440.24,8300.37,63980000.0,-1.09,8668.928722938119,8284.253965905478,8324.533809286264
2015-01-29,8435.34,8305.72,8435.34,8305.72,56720000.0,1.49,8657.249286791211,8329.579776133834,8402.098142785879
2015-01-30,8385.13,8490.42,8493.05,8385.13,64280000.0,-0.6,8643.64332245165,8346.244843293684,8390.220442835764
2015-02-02,8429.2,8439.93,8474.92,8398.18,58080000.0,0.53,8632.921156329068,8371.131390305578,8417.506132850729
2015-02-03,8452.13,8425.61,8516.43,8419.68,65670000.0,0.27,8623.881598512615,8395.430973213905,8441.742839855218
2015-02-04,8608.24,8490.94,8612.1,8477.37,66700000.0,1.85,8623.099518586983,8459.273681249733,8558.290851956564
2015-02-05,8544.32,8546.14,8562.75,8503.26,62290000.0,-0.74,8619.160542657635,8484.787576874813,8548.511255586971
2015-02-06,8587.99,8527.26,8619.55,8487.93,46920000.0,0.51,8617.602015524753,8515.748303812368,8576.14637667609
2015-02-09,8632.14,8535.62,8638.38,8521.12,58410000.0,0.51,8618.328914748516,8550.665812668658,8615.341913002827
2015-02-10,8620.42,8605.52,8626.19,8563.68,81280000.0,-0.14,8618.43346901109,8571.59206886806,8618.896573900847
2015-02-11,8577.76,8628.47,8642.71,8537.21,50900000.0,-0.49,8616.399795560535,8573.442448207643,8590.100972170254
