Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,11520.59,11150.98,11587.28,11150.98,51630.0,4.59,11520.59,11520.59,11520.59
2015-01-06,11667.97,11424.92,11749.14,11374.5,45430.0,1.28,11527.959,11564.803999999998,11623.756
2015-01-07,11613.36,11612.73,11714.78,11505.03,32990.0,-0.47,11532.229050000002,11579.3708,11616.4788
2015-01-08,11465.14,11624.59,11656.7,11371.92,32000.0,-1.28,11528.874597500002,11545.10156,11510.54164
2015-01-09,11324.76,11424.53,11738.25,11313.25,35280.0,-1.22,11518.668867625005,11478.999092,11380.494492
2015-01-12,11285.18,11279.73,11376.09,11116.06,29880.0,-0.35,11506.994424243752,11420.8533644,11313.7743476
2015-01-13,11355.81,11250.88,11418.45,11244.42,21720.0,0.63,11499.435203031566,11401.34035508,11343.19930428
2015-01-14,11237.78,11366.95,11429.31,11153.17,20720.0,-1.04,11486.352442879988,11352.272248556,11269.405791284
2015-01-15,11483.68,11240.84,11483.75,11161.52,22510.0,2.19,11486.218820735989,11391.6945739892,11419.3977373852
2015-01-16,11532.8,11496.76,11583.73,11436.28,24290.0,0.43,11488.54787969919,11434.02620179244,11498.77932121556
2015-01-19,10770.93,10939.04,11204.49,10634.62,36350.0,-6.61,11452.666985714228,11235.097341254706,10989.284796364667
2015-01-20,10996.48,10761.28,11026.05,10750.85,31290.0,2.09,11429.857636428518,11163.512138878294,10994.3214389094
2015-01-21,11372.18,11051.95,11395.1,11000.74,33810.0,3.42,11426.973754607092,11226.112497214806,11258.82243167282
2015-01-22,11471.21,11358.44,11499.44,11342.08,25790.0,0.87,11429.185566876738,11299.641748050364,11407.493729501843
2015-01-23,11436.29,11507.44,11554.52,11379.96,25590.0,-0.3,11429.540788532902,11340.636223635254,11427.651118850554
2015-01-26,11686.97,11564.22,11711.89,11512.01,36440.0,2.19,11442.412249106255,11444.53635654468,11609.174335655163
2015-01-27,11551.87,11670.24,11705.91,11368.99,38010.0,-1.16,11447.885136650944,11476.736449581276,11569.06130069655
2015-01-28,11354.2,11484.99,11530.09,11309.21,24960.0,-1.71,11443.200879818398,11439.975514706897,11418.658390208964
2015-01-29,11249.04,11187.3,11319.47,11161.43,25130.0,-0.93,11433.492835827481,11382.694860294825,11299.925517062693
2015-01-30,11150.69,11290.45,11354.09,11132.8,24020.0,-0.87,11419.352694036104,11313.093402206378,11195.460655118806
2015-02-02,10963.14,10952.14,11140.97,10921.44,23040.0,-1.68,11396.542059334299,11208.107381544463,11032.836196535642
2015-02-03,11209.19,11077.48,11216.68,10993.55,23580.0,2.24,11387.174456367586,11208.432167081122,11156.28385896069
2015-02-04,11116.55,11241.98,11364.38,11111.53,23640.0,-0.83,11373.643233549206,11180.867516956787,11128.470157688207
2015-02-05,11065.58,11367.14,11386.73,11065.58,29500.0,-0.46,11358.240071871744,11146.281261869752,11084.44704730646
2015-02-06,10791.1,11022.49,11054.94,10715.43,24130.0,-2.48,11329.883068278157,11039.726883308826,10879.104114191938
2015-02-09,10868.14,10792.0,10975.85,10760.05,21690.0,0.71,11306.795914864253,10988.250818316175,10871.42923425758
2015-02-10,11136.62,10887.68,11136.62,10875.28,20470.0,2.47,11298.287119121034,11032.761572821324,11057.062770277273
2015-02-11,11265.63,11174.31,11318.46,11167.12,28490.0,1.16,11296.654263164983,11102.62210097493,11203.059831083181
