Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-01,1461.97,1460.12,1462.91,1457.0,38260000.0,-0.21,1461.97,1461.97,1461.97
2015-01-04,1459.97,1458.96,1462.66,1458.32,33480000.0,-0.14,1461.87,1461.37,1460.57
2015-01-05,1457.47,1460.02,1463.65,1455.66,63720000.0,-0.17,1461.65,1460.1999999999994,1458.4
2015-01-06,1458.66,1450.98,1459.42,1449.94,38980000.0,0.08,1461.5005,1459.7379999999994,1458.582
2015-01-07,1462.16,1456.93,1465.33,1453.56,73540000.0,0.24,1461.5334750000006,1460.4645999999998,1461.0866
2015-01-08,1469.58,1463.98,1471.05,1463.98,48010000.0,0.51,1461.9358012500006,1463.19922,1467.0319799999993
2015-01-11,1465.79,1466.98,1469.48,1463.41,14530000.0,-0.26,1462.1285111875006,1463.976454,1466.162594
2015-01-12,1463.03,1466.22,1469.66,1459.07,52160000.0,-0.19,1462.1735856281252,1463.6925178,1463.9697781999994
2015-01-13,1474.83,1463.5,1474.9,1461.21,45540000.0,0.81,1462.806406346719,1467.0337624600006,1471.57193346
2015-01-14,1465.44,1467.63,1473.42,1462.5,49510000.0,-0.64,1462.9380860293832,1466.555633722,1467.279580038
2015-01-15,1463.33,1472.03,1472.03,1457.78,45010000.0,-0.14,1462.9576817279142,1465.5879436054001,1464.5148740113998
2015-01-18,1466.94,1467.07,1469.21,1464.39,15110000.0,0.25,1463.1567976415179,1465.9935605237802,1466.2124622034198
2015-01-19,1458.75,1463.93,1464.04,1455.55,49900000.0,-0.56,1462.9364577594422,1463.8204923666458,1460.9887386610258
2015-01-20,1459.74,1460.7,1462.69,1455.96,51250000.0,0.07,1462.7766348714706,1462.5963446566516,1460.1146215983074
2015-01-21,1458.76,1458.53,1460.45,1452.01,68070000.0,-0.07,1462.5758031278967,1461.4454412596563,1459.1663864794925
2015-01-22,1455.66,1461.93,1462.71,1452.57,62740000.0,-0.21,1462.230012971502,1459.7098088817597,1456.7119159438473
2015-01-25,1459.56,1459.94,1462.59,1457.47,66390000.0,0.27,1462.0965123229266,1459.6648662172315,1458.705574783154
