Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-01,8409.54,8333.3,8452.37,8297.71,287860000.0,0.91,8409.54,8409.54,8409.54
2015-01-04,8356.93,8409.54,8418.56,8346.56,346990000.0,-0.63,8406.9095,8393.757000000001,8372.713
2015-01-05,8106.8,8356.93,8356.93,8102.65,243970000.0,-2.99,8391.904025,8307.6699,8186.573899999998
2015-01-06,8057.43,8106.8,8106.8,7770.17,310950000.0,-0.61,8375.18032375,8232.59793,8096.17317
2015-01-07,8133.39,8057.43,8208.7,7986.06,370710000.0,0.94,8363.090807562501,8202.835551,8122.224951
2015-01-08,8284.89,8133.39,8335.34,8133.39,316140000.0,1.86,8359.180767184376,8227.451885699998,8236.0904853
2015-01-11,8445.13,8284.89,8451.01,8277.2,260560000.0,1.93,8363.478228825157,8292.75531999,8382.41814559
2015-01-12,8436.71,8445.13,8498.4,8388.98,337010000.0,-0.1,8367.139817383899,8335.941723992999,8420.422443676998
2015-01-13,8491.68,8436.71,8503.49,8268.5,292830000.0,0.65,8373.366826514704,8382.6632067951,8470.302733103099
2015-01-14,8551.93,8491.68,8569.54,8490.93,297990000.0,0.71,8382.294985188968,8433.44324475657,8527.44181993093
2015-01-15,8458.72,8551.93,8564.56,8449.15,276390000.0,-1.09,8386.11623592952,8441.0262713296,8479.336545979279
2015-01-18,8535.78,8458.72,8554.08,8452.88,262960000.0,0.91,8393.599424133043,8469.45238993072,8518.846963793783
2015-01-19,8482.93,8535.78,8546.39,8470.73,252570000.0,-0.62,8398.06595292639,8473.495672951505,8493.705089138135
2015-01-20,8483.62,8482.93,8505.17,8426.2,204500000.0,0.01,8402.34365528007,8476.532971066054,8486.64552674144
2015-01-21,8393.81,8483.62,8484.1,8381.15,217060000.0,-1.06,8401.916972516066,8451.716079746238,8421.660658022432
2015-01-22,8421.72,8393.81,8430.61,8341.7,275580000.0,0.33,8402.907123890262,8442.717255822366,8421.702197406728
2015-01-26,8480.1,8421.72,8511.87,8421.72,381860000.0,0.69,8406.76676769575,8453.932079075657,8462.580659222018
2015-01-27,8686.16,8480.1,8691.22,8472.08,437380000.0,2.43,8420.736429310962,8523.600455352958,8619.086197766605
2015-01-28,8912.5,8686.16,8937.4,8686.16,512740000.0,2.61,8445.324607845414,8640.27031874707,8824.475859329981
