Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-05,9274.11,9292.31,9292.31,9182.02,2310000.0,-0.36,9274.11,9274.11,9274.11
2015-01-06,9048.34,9209.93,9209.93,9043.44,2730000.0,-2.43,9262.821500000002,9206.379,9116.071
2015-01-07,9080.09,9051.94,9108.66,9050.54,2380000.0,0.35,9253.684925,9168.4923,9090.8843
2015-01-08,9238.03,9154.03,9246.62,9154.03,2660000.0,1.74,9252.90217875,9189.35361,9193.88629
2015-01-09,9215.58,9247.4,9284.57,9215.58,2400000.0,-0.24,9251.0360698125,9197.221527,9209.071887
2015-01-12,9178.3,9198.02,9229.65,9178.3,2210000.0,-0.4,9247.399266321876,9191.545068899999,9187.5315661
2015-01-13,9231.8,9162.77,9253.82,9161.71,2320000.0,0.58,9246.619303005782,9203.62154823,9218.519469829998
2015-01-14,9180.23,9235.9,9242.2,9161.71,2270000.0,-0.56,9243.299837855491,9196.604083761,9191.716840949
2015-01-15,9165.09,9197.32,9219.43,9149.1,2210000.0,-0.16,9239.38934596272,9187.1498586327,9173.0780522847
2015-01-16,9138.29,9245.77,9256.86,9109.46,2590000.0,-0.29,9234.334378664584,9172.491901042891,9148.726415685407
2015-01-19,9174.06,9183.76,9247.09,9151.82,1890000.0,0.39,9231.320659731353,9172.962330730024,9166.459924705623
2015-01-20,9251.69,9188.76,9259.31,9177.48,1800000.0,0.85,9232.339126744786,9196.580631511015,9226.120977411689
2015-01-21,9319.71,9283.79,9319.71,9275.68,2170000.0,0.74,9236.707670407546,9233.519442057712,9291.633293223504
2015-01-22,9369.51,9336.81,9386.56,9336.81,2390000.0,0.53,9243.347786887169,9274.3166094404,9346.146987967051
2015-01-23,9470.94,9422.0,9471.8,9422.0,2650000.0,1.08,9254.727397542807,9333.30362660828,9433.502096390115
2015-01-26,9477.67,9474.56,9478.53,9436.47,1910000.0,0.07,9265.87452766567,9376.613538625796,9464.419628917034
2015-01-27,9521.59,9505.56,9523.73,9471.19,1880000.0,0.46,9278.660301282383,9420.106477038056,9504.43888867511
2015-01-28,9510.92,9503.2,9515.29,9471.31,1780000.0,-0.11,9290.273286218267,9447.35053392664,9508.975666602531
