Date,Price,Open,High,Low,Vol,Change,MA95,MA7,MA3
2015-01-02,2309.39,2323.3,2323.93,2306.4,6490000.0,-0.28,2309.39,2309.39,2309.39
2015-01-05,2264.75,2304.64,2307.52,2264.75,13520000.0,-1.93,2307.158,2295.998,2278.1420000000007
2015-01-07,2307.46,2273.35,2320.4,2267.02,22680000.0,1.89,2307.1731,2299.4366,2298.6646
2015-01-08,2361.48,2317.92,2361.48,2317.62,23980000.0,2.34,2309.888445,2318.04962,2342.63538
2015-01-09,2337.21,2357.49,2360.31,2329.68,17740000.0,-1.03,2311.25452275,2323.7977339999998,2338.837614
2015-01-12,2330.04,2336.38,2349.43,2317.18,12720000.0,-0.31,2312.1937966125,2325.6704138,2332.6792841999995
2015-01-13,2367.65,2327.62,2376.33,2327.53,24950000.0,1.61,2314.966606781875,2338.26428966,2357.15878526
2015-01-14,2336.66,2349.17,2351.04,2324.22,25660000.0,-1.31,2316.0512764427813,2337.7830027620003,2342.809635578
2015-01-15,2265.21,2349.68,2353.28,2259.09,51250000.0,-3.06,2313.5092126206423,2316.0111019334,2288.4898906734
2015-01-16,2252.33,2254.33,2273.11,2225.93,31680000.0,-0.57,2310.4502519896105,2296.90677135338,2263.1779672020198
2015-01-19,2255.12,2256.97,2265.61,2232.01,17610000.0,0.12,2307.683739390129,2284.370739947366,2257.5373901606063
2015-01-20,2242.42,2265.71,2275.27,2242.42,18090000.0,-0.56,2304.4205524206227,2271.785517963156,2246.9552170481816
2015-01-21,2287.86,2249.92,2287.86,2245.26,19650000.0,2.03,2303.592524799592,2276.607862574209,2275.5885651144545
2015-01-22,2319.45,2292.99,2326.6,2292.74,22920000.0,1.38,2304.3853985596124,2289.4605038019463,2306.2915695343368
2015-01-23,2319.59,2322.49,2334.65,2315.14,21430000.0,0.01,2305.145628631632,2298.4993526613625,2315.600470860301
2015-01-26,2307.29,2305.3,2313.08,2292.12,18800000.0,-0.53,2305.25284720005,2301.136546862953,2309.78314125809
2015-01-27,2309.86,2313.16,2332.78,2296.03,25610000.0,0.11,2305.483204840047,2303.753582804068,2309.836942377427
2015-01-28,2319.18,2318.69,2331.89,2296.26,28580000.0,0.4,2306.168044598045,2308.3815079628475,2316.3770827132275
2015-01-29,2340.77,2321.4,2346.48,2312.8,23260000.0,0.93,2307.898142368143,2318.098055573993,2333.452124813968
2015-01-30,2341.0,2345.43,2350.44,2335.2,19330000.0,0.01,2309.553235249736,2324.968638901795,2338.7356374441893
2015-02-02,2330.14,2344.22,2350.55,2307.78,19880000.0,-0.46,2310.582573487249,2326.520047231257,2332.7186912332572
